cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9913793103448276,0.9871244635193133,0.9956709956709957,231.0
"CD16-negative, CD56-bright natural killer cell, human",0.8799999999999999,0.8627450980392157,0.8979591836734694,49.0
"CD16-positive, CD56-dim natural killer cell, human",0.9310344827586207,0.9252336448598131,0.9369085173501577,317.0
T-helper 22 cell,0.6762589928057554,0.6527777777777778,0.7014925373134329,134.0
"central memory CD4-positive, alpha-beta T cell",0.6724890829694322,0.6553191489361702,0.6905829596412556,223.0
"effector CD8-positive, alpha-beta T cell",0.75177304964539,0.7019867549668874,0.8091603053435115,131.0
"effector memory CD8-positive, alpha-beta T cell",0.6926406926406926,0.7079646017699115,0.6779661016949152,118.0
gamma-delta T cell,0.3428571428571428,0.42105263157894735,0.2891566265060241,83.0
mature NK T cell,0.8354430379746834,0.9705882352941176,0.7333333333333333,90.0
mucosal invariant T cell,0.656934306569343,0.6617647058823529,0.6521739130434783,69.0
naive B cell,1.0,1.0,1.0,125.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8220064724919094,0.7888198757763976,0.8581081081081081,296.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7034482758620689,0.7611940298507462,0.6538461538461539,156.0
