cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9913419913419913,0.9913419913419913,0.9913419913419913,231.0
"CD16-negative, CD56-bright natural killer cell, human",0.9574468085106383,1.0,0.9183673469387755,49.0
"CD16-positive, CD56-dim natural killer cell, human",0.9683544303797469,0.9714285714285714,0.9652996845425867,317.0
T-helper 22 cell,0.6258992805755396,0.6041666666666666,0.6492537313432836,134.0
"central memory CD4-positive, alpha-beta T cell",0.6422018348623854,0.6572769953051644,0.6278026905829597,223.0
"effector CD8-positive, alpha-beta T cell",0.8428571428571427,0.7919463087248322,0.9007633587786259,131.0
"effector memory CD8-positive, alpha-beta T cell",0.725,0.7131147540983607,0.7372881355932204,118.0
gamma-delta T cell,0.5283018867924529,0.5526315789473685,0.5060240963855421,83.0
mature NK T cell,0.8250000000000001,0.9428571428571428,0.7333333333333333,90.0
mucosal invariant T cell,0.549618320610687,0.5806451612903226,0.5217391304347826,69.0
naive B cell,1.0,1.0,1.0,125.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.813614262560778,0.7819314641744548,0.847972972972973,296.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.8065573770491804,0.825503355704698,0.7884615384615384,156.0
