cell_type,f1,precision,recall,support
B cell,0.5714285714285715,0.6666666666666666,0.5,4.0
"CD14-low, CD16-positive monocyte",0.0,0.0,0.0,3.0
CD14-positive monocyte,0.9870689655172413,0.9828326180257511,0.9913419913419913,231.0
"CD16-negative, CD56-bright natural killer cell, human",0.9019607843137256,0.8679245283018868,0.9387755102040817,49.0
"CD16-positive, CD56-dim natural killer cell, human",0.9221183800623053,0.9079754601226994,0.9367088607594937,316.0
"CD34-positive, CD38-negative hematopoietic stem cell",0.0,0.0,0.0,2.0
"CD4-positive, alpha-beta T cell",0.0,0.0,0.0,1.0
"CD8-positive, alpha-beta T cell",0.0,0.0,0.0,2.0
"ILC1, human",0.0,0.0,0.0,7.0
IgA plasma cell,0.8571428571428571,1.0,0.75,4.0
IgG plasma cell,0.0,0.0,0.0,2.0
IgM plasma cell,0.0,0.0,0.0,1.0
T follicular helper cell,0.06896551724137931,0.3333333333333333,0.038461538461538464,26.0
T-helper 1 cell,0.0,0.0,0.0,2.0
T-helper 2 cell,0.0,0.0,0.0,0.0
T-helper 22 cell,0.5818181818181819,0.5673758865248227,0.5970149253731343,134.0
"central memory CD4-positive, alpha-beta T cell",0.5684210526315788,0.5357142857142857,0.6053811659192825,223.0
class switched memory B cell,0.47058823529411764,0.6,0.3870967741935484,31.0
dendritic cell,0.4,0.5,0.3333333333333333,3.0
"dendritic cell, human",0.6976744186046512,0.7894736842105263,0.625,24.0
"effector CD8-positive, alpha-beta T cell",0.7272727272727274,0.6709677419354839,0.7938931297709924,131.0
"effector memory CD4-positive, alpha-beta T cell",0.3333333333333333,0.5,0.25,4.0
"effector memory CD8-positive, alpha-beta T cell",0.6812227074235808,0.7027027027027027,0.6610169491525424,118.0
erythrocyte,0.9523809523809523,1.0,0.9090909090909091,11.0
"erythroid progenitor cell, mammalian",0.6666666666666666,0.5,1.0,2.0
gamma-delta T cell,0.3333333333333333,0.4883720930232558,0.25301204819277107,83.0
"group 2 innate lymphoid cell, human",1.0,1.0,1.0,1.0
immature B cell,0.10526315789473684,0.3333333333333333,0.0625,16.0
mature NK T cell,0.8502994011976047,0.922077922077922,0.7888888888888889,90.0
mucosal invariant T cell,0.7272727272727272,0.7619047619047619,0.6956521739130435,69.0
myeloid dendritic cell,0.7755102040816326,0.7037037037037037,0.8636363636363636,22.0
naive B cell,0.8194444444444445,0.7239263803680982,0.944,125.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8062500000000001,0.75,0.8716216216216216,296.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.68,0.7083333333333334,0.6538461538461539,156.0
natural killer cell,0.4,1.0,0.25,4.0
plasmablast,0.0,0.0,0.0,1.0
plasmacytoid dendritic cell,1.0,1.0,1.0,13.0
platelet,0.85,0.85,0.85,40.0
regulatory T cell,0.0,0.0,0.0,2.0
unswitched memory B cell,0.0,0.0,0.0,9.0
