cell_type,f1,precision,recall,support
B cell,0.0,0.0,0.0,4.0
"CD14-low, CD16-positive monocyte",0.5,1.0,0.3333333333333333,3.0
CD14-positive monocyte,0.987012987012987,0.987012987012987,0.987012987012987,231.0
"CD16-negative, CD56-bright natural killer cell, human",0.9278350515463918,0.9375,0.9183673469387755,49.0
"CD16-positive, CD56-dim natural killer cell, human",0.955177743431221,0.9335347432024169,0.9778481012658228,316.0
"CD34-positive, CD38-negative hematopoietic stem cell",0.0,0.0,0.0,2.0
"CD4-positive, alpha-beta T cell",1.0,1.0,1.0,1.0
"CD8-positive, alpha-beta T cell",0.0,0.0,0.0,2.0
"ILC1, human",0.0,0.0,0.0,7.0
IgA plasma cell,0.8571428571428571,1.0,0.75,4.0
IgG plasma cell,0.0,0.0,0.0,2.0
IgM plasma cell,0.0,0.0,0.0,1.0
T follicular helper cell,0.30303030303030304,0.7142857142857143,0.19230769230769232,26.0
T-helper 1 cell,0.0,0.0,0.0,2.0
T-helper 2 cell,0.0,0.0,0.0,0.0
T-helper 22 cell,0.5278810408921933,0.5259259259259259,0.5298507462686567,134.0
"central memory CD4-positive, alpha-beta T cell",0.5766129032258065,0.5238095238095238,0.6412556053811659,223.0
class switched memory B cell,0.6440677966101694,0.6785714285714286,0.6129032258064516,31.0
dendritic cell,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
"dendritic cell, human",0.6666666666666666,0.7142857142857143,0.625,24.0
"effector CD8-positive, alpha-beta T cell",0.8088235294117647,0.7801418439716312,0.8396946564885496,131.0
"effector memory CD4-positive, alpha-beta T cell",0.0,0.0,0.0,4.0
"effector memory CD8-positive, alpha-beta T cell",0.6877828054298643,0.7378640776699029,0.6440677966101694,118.0
erythrocyte,1.0,1.0,1.0,11.0
"erythroid progenitor cell, mammalian",0.6666666666666666,0.5,1.0,2.0
gamma-delta T cell,0.4246575342465753,0.49206349206349204,0.37349397590361444,83.0
"group 2 innate lymphoid cell, human",0.0,0.0,0.0,1.0
immature B cell,0.5333333333333333,0.5714285714285714,0.5,16.0
mature NK T cell,0.8862275449101796,0.961038961038961,0.8222222222222222,90.0
mucosal invariant T cell,0.5179856115107913,0.5142857142857142,0.5217391304347826,69.0
myeloid dendritic cell,0.6956521739130435,0.6666666666666666,0.7272727272727273,22.0
naive B cell,0.856060606060606,0.8129496402877698,0.904,125.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.7867768595041322,0.7702265372168284,0.8040540540540541,296.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7823343848580441,0.7701863354037267,0.7948717948717948,156.0
natural killer cell,0.3333333333333333,0.5,0.25,4.0
plasmablast,0.0,0.0,0.0,1.0
plasmacytoid dendritic cell,1.0,1.0,1.0,13.0
platelet,0.8571428571428571,0.8918918918918919,0.825,40.0
regulatory T cell,0.0,0.0,0.0,2.0
unswitched memory B cell,0.4,0.5,0.3333333333333333,9.0
