cell_type,f1,precision,recall,support
naive B cell,1.0,1.0,1.0,124.8
CD14-positive monocyte,0.9903661960199323,0.989036309768944,0.9918107103924794,230.6
"CD16-positive, CD56-dim natural killer cell, human",0.9293541765399036,0.925996869246768,0.9337222235032883,316.4
mature NK T cell,0.8670718468360967,0.9614203944875452,0.7943499616036991,89.8
"CD16-negative, CD56-bright natural killer cell, human",0.8533635770215021,0.8896656705867232,0.8229004884170514,49.4
"naive thymus-derived CD4-positive, alpha-beta T cell",0.820350709907198,0.7810755603270678,0.8708623875454572,295.8
"effector CD8-positive, alpha-beta T cell",0.7448621519389701,0.681921453050919,0.8462587488199315,131.2
"effector memory CD8-positive, alpha-beta T cell",0.685099972032621,0.6822211987349963,0.697880944014892,118.4
"naive thymus-derived CD8-positive, alpha-beta T cell",0.66129677454104,0.7020582219106746,0.6284216257863872,156.2
mucosal invariant T cell,0.6532838975830942,0.6644120788159433,0.6454739800429456,69.2
"central memory CD4-positive, alpha-beta T cell",0.6091646990061337,0.6089150769003253,0.6403639469521781,223.0
T-helper 22 cell,0.604121827076956,0.6009827761447801,0.6555288497912262,133.8
gamma-delta T cell,0.3085865374147182,0.45539816920263104,0.25656713303704126,82.8
