cell_type,f1,precision,recall,support,fold
CD14-positive monocyte,0.9936708860759493,0.9936708860759493,0.9936708860759493,158.0,4
"CD16-negative, CD56-bright natural killer cell, human",0.8095238095238096,0.9444444444444444,0.7083333333333334,24.0,4
"CD16-positive, CD56-dim natural killer cell, human",0.9565217391304348,0.9166666666666666,1.0,264.0,4
T-helper 22 cell,0.5227272727272727,0.6174496644295302,0.45320197044334976,203.0,4
"central memory CD4-positive, alpha-beta T cell",0.4936170212765957,0.3918918918918919,0.6666666666666666,174.0,4
"effector CD8-positive, alpha-beta T cell",0.8571428571428571,0.8429752066115702,0.8717948717948718,117.0,4
"effector memory CD8-positive, alpha-beta T cell",0.7509293680297398,0.7214285714285714,0.7829457364341085,129.0,4
gamma-delta T cell,0.23076923076923078,0.4,0.16216216216216217,74.0,4
mature NK T cell,0.8435374149659864,0.9538461538461539,0.7560975609756098,82.0,4
mucosal invariant T cell,0.5555555555555556,0.625,0.5,60.0,4
naive B cell,1.0,1.0,1.0,60.0,4
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8186356073211314,0.8172757475083057,0.82,300.0,4
"naive thymus-derived CD8-positive, alpha-beta T cell",0.5639344262295082,0.6231884057971014,0.5149700598802395,167.0,4
