cell_type,f1,precision,recall,support,fold
CD14-positive monocyte,0.9936708860759493,0.9936708860759493,0.9936708860759493,158.0,4
"CD16-negative, CD56-bright natural killer cell, human",0.9090909090909091,1.0,0.8333333333333334,24.0,4
"CD16-positive, CD56-dim natural killer cell, human",0.9705882352941176,0.9428571428571428,1.0,264.0,4
T-helper 22 cell,0.5308310991957105,0.5823529411764706,0.4876847290640394,203.0,4
"central memory CD4-positive, alpha-beta T cell",0.5345622119815668,0.4461538461538462,0.6666666666666666,174.0,4
"effector CD8-positive, alpha-beta T cell",0.8619246861924686,0.8442622950819673,0.8803418803418803,117.0,4
"effector memory CD8-positive, alpha-beta T cell",0.7790262172284644,0.7536231884057971,0.8062015503875969,129.0,4
gamma-delta T cell,0.3875968992248062,0.45454545454545453,0.33783783783783783,74.0,4
mature NK T cell,0.870748299319728,0.9846153846153847,0.7804878048780488,82.0,4
mucosal invariant T cell,0.5154639175257731,0.6756756756756757,0.4166666666666667,60.0,4
naive B cell,1.0,1.0,1.0,60.0,4
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8288590604026845,0.8344594594594594,0.8233333333333334,300.0,4
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6981132075471699,0.7350993377483444,0.6646706586826348,167.0,4
