cell_type,f1,precision,recall,support,fold
CD14-positive monocyte,0.9896049896049897,0.9834710743801653,0.99581589958159,239.0,1
"CD16-negative, CD56-bright natural killer cell, human",0.8264462809917354,0.7936507936507936,0.8620689655172413,58.0,1
"CD16-positive, CD56-dim natural killer cell, human",0.9352226720647773,0.9371196754563894,0.9333333333333333,495.0,1
T-helper 22 cell,0.6091954022988506,0.49074074074074076,0.803030303030303,66.0,1
"central memory CD4-positive, alpha-beta T cell",0.6161137440758293,0.7386363636363636,0.5284552845528455,123.0,1
"effector CD8-positive, alpha-beta T cell",0.7484276729559748,0.7300613496932515,0.7677419354838709,155.0,1
"effector memory CD8-positive, alpha-beta T cell",0.7349397590361447,0.8079470198675497,0.6740331491712708,181.0,1
gamma-delta T cell,0.36708860759493667,0.37662337662337664,0.35802469135802467,81.0,1
mature NK T cell,0.8623853211009175,0.9690721649484536,0.7768595041322314,121.0,1
mucosal invariant T cell,0.6308724832214765,0.5949367088607594,0.6714285714285714,70.0,1
naive B cell,1.0,1.0,1.0,164.0,1
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8127340823970038,0.7482758620689656,0.889344262295082,244.0,1
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7432432432432433,0.7913669064748201,0.7006369426751592,157.0,1
CD14-positive monocyte,0.9933774834437086,0.9966777408637874,0.9900990099009901,303.0,2
"CD16-negative, CD56-bright natural killer cell, human",0.8235294117647058,0.84,0.8076923076923077,52.0,2
"CD16-positive, CD56-dim natural killer cell, human",0.7567567567567569,0.717948717948718,0.8,245.0,2
T-helper 22 cell,0.4539473684210526,0.350253807106599,0.6448598130841121,107.0,2
"central memory CD4-positive, alpha-beta T cell",0.6710182767624021,0.7363896848137536,0.6163069544364509,417.0,2
"effector CD8-positive, alpha-beta T cell",0.4778761061946903,0.5242718446601942,0.43902439024390244,123.0,2
"effector memory CD8-positive, alpha-beta T cell",0.6285714285714286,0.7333333333333333,0.55,120.0,2
gamma-delta T cell,0.16393442622950818,0.13333333333333333,0.2127659574468085,47.0,2
mature NK T cell,0.9113924050632912,0.935064935064935,0.8888888888888888,81.0,2
mucosal invariant T cell,0.5874125874125874,0.6461538461538462,0.5384615384615384,78.0,2
naive B cell,1.0,1.0,1.0,189.0,2
"naive thymus-derived CD4-positive, alpha-beta T cell",0.7841584158415841,0.72,0.8608695652173913,230.0,2
"naive thymus-derived CD8-positive, alpha-beta T cell",0.5639097744360901,0.7009345794392523,0.4716981132075472,159.0,2
CD14-positive monocyte,0.987593052109181,0.9754901960784313,1.0,199.0,3
"CD16-negative, CD56-bright natural killer cell, human",0.9044585987261147,0.9466666666666667,0.8658536585365854,82.0,3
"CD16-positive, CD56-dim natural killer cell, human",0.9506493506493507,0.9289340101522843,0.973404255319149,376.0,3
T-helper 22 cell,0.7333333333333334,0.678082191780822,0.7983870967741935,124.0,3
"central memory CD4-positive, alpha-beta T cell",0.6902654867256638,0.6724137931034483,0.7090909090909091,165.0,3
"effector CD8-positive, alpha-beta T cell",0.8375286041189931,0.8026315789473685,0.8755980861244019,209.0,3
"effector memory CD8-positive, alpha-beta T cell",0.669683257918552,0.6324786324786325,0.7115384615384616,104.0,3
gamma-delta T cell,0.4812834224598931,0.5769230769230769,0.41284403669724773,109.0,3
mature NK T cell,0.8070175438596491,0.9857142857142858,0.6831683168316832,101.0,3
mucosal invariant T cell,0.7310344827586207,0.8153846153846154,0.6625,80.0,3
naive B cell,1.0,1.0,1.0,90.0,3
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8670807453416148,0.8596059113300493,0.87468671679198,399.0,3
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6735395189003437,0.6950354609929078,0.6533333333333333,150.0,3
CD14-positive monocyte,0.9872611464968154,0.9935897435897436,0.9810126582278481,158.0,4
"CD16-negative, CD56-bright natural killer cell, human",0.8444444444444444,0.9047619047619048,0.7916666666666666,24.0,4
"CD16-positive, CD56-dim natural killer cell, human",0.931098696461825,0.9157509157509157,0.946969696969697,264.0,4
T-helper 22 cell,0.5819209039548023,0.6821192052980133,0.5073891625615764,203.0,4
