cell_type,f1,precision,recall,support,fold
CD14-positive monocyte,0.987593052109181,0.9754901960784313,1.0,199.0,3
"CD16-negative, CD56-bright natural killer cell, human",0.9044585987261147,0.9466666666666667,0.8658536585365854,82.0,3
"CD16-positive, CD56-dim natural killer cell, human",0.9506493506493507,0.9289340101522843,0.973404255319149,376.0,3
T-helper 22 cell,0.7333333333333334,0.678082191780822,0.7983870967741935,124.0,3
"central memory CD4-positive, alpha-beta T cell",0.6902654867256638,0.6724137931034483,0.7090909090909091,165.0,3
"effector CD8-positive, alpha-beta T cell",0.8375286041189931,0.8026315789473685,0.8755980861244019,209.0,3
"effector memory CD8-positive, alpha-beta T cell",0.669683257918552,0.6324786324786325,0.7115384615384616,104.0,3
gamma-delta T cell,0.4812834224598931,0.5769230769230769,0.41284403669724773,109.0,3
mature NK T cell,0.8070175438596491,0.9857142857142858,0.6831683168316832,101.0,3
mucosal invariant T cell,0.7310344827586207,0.8153846153846154,0.6625,80.0,3
naive B cell,1.0,1.0,1.0,90.0,3
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8670807453416148,0.8596059113300493,0.87468671679198,399.0,3
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6735395189003437,0.6950354609929078,0.6533333333333333,150.0,3
