cell_type,f1,precision,recall,support
naive B cell,1.0,1.0,1.0,124.8
CD14-positive monocyte,0.9910559786802047,0.9892114815227396,0.9929728054400193,230.6
"CD16-positive, CD56-dim natural killer cell, human",0.9368274637144631,0.9341890993218687,0.9415675714336522,316.4
"CD16-negative, CD56-bright natural killer cell, human",0.86962618775465,0.9137200577200577,0.8331145334855419,49.4
mature NK T cell,0.8524836489520833,0.9162021845523265,0.8021242333490555,89.8
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8195869666869757,0.8047717289226011,0.8413522154582157,295.8
"effector CD8-positive, alpha-beta T cell",0.7471684312398041,0.6915393980128796,0.8252228187840428,131.2
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6694811566533243,0.7356168277890456,0.619419310885986,156.2
"effector memory CD8-positive, alpha-beta T cell",0.6554325472981244,0.6614668647790445,0.6655151249526702,118.4
"central memory CD4-positive, alpha-beta T cell",0.6538202446787008,0.6468154768624519,0.6922239460359696,223.0
mucosal invariant T cell,0.5962987762025931,0.6559431898111395,0.5580469243400279,69.2
T-helper 22 cell,0.5832145588501525,0.5710804708917916,0.6470308190271821,133.8
gamma-delta T cell,0.2966826978680661,0.38300269470482234,0.2765837042665888,82.8
