cell_type,f1,precision,recall,support,fold
CD14-positive monocyte,0.9895178197064989,0.9915966386554622,0.9874476987447699,239.0,1
"CD16-negative, CD56-bright natural killer cell, human",0.920353982300885,0.9454545454545454,0.896551724137931,58.0,1
"CD16-positive, CD56-dim natural killer cell, human",0.9612244897959185,0.9711340206185567,0.9515151515151515,495.0,1
T-helper 22 cell,0.5227272727272727,0.41818181818181815,0.696969696969697,66.0,1
"central memory CD4-positive, alpha-beta T cell",0.56,0.6176470588235294,0.5121951219512195,123.0,1
"effector CD8-positive, alpha-beta T cell",0.7047619047619048,0.69375,0.7161290322580646,155.0,1
"effector memory CD8-positive, alpha-beta T cell",0.6912181303116147,0.7093023255813954,0.6740331491712708,181.0,1
gamma-delta T cell,0.4503311258278146,0.4857142857142857,0.41975308641975306,81.0,1
mature NK T cell,0.8482142857142858,0.9223300970873787,0.7851239669421488,121.0,1
mucosal invariant T cell,0.5793103448275861,0.56,0.6,70.0,1
naive B cell,0.9969418960244648,1.0,0.9939024390243902,164.0,1
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8047337278106509,0.7756653992395437,0.8360655737704918,244.0,1
"naive thymus-derived CD8-positive, alpha-beta T cell",0.8380952380952381,0.8354430379746836,0.8407643312101911,157.0,1
CD14-positive monocyte,0.9917081260364843,0.9966666666666667,0.9867986798679867,303.0,2
"CD16-negative, CD56-bright natural killer cell, human",0.8659793814432989,0.9333333333333333,0.8076923076923077,52.0,2
"CD16-positive, CD56-dim natural killer cell, human",0.9004329004329005,0.9585253456221198,0.8489795918367347,245.0,2
T-helper 22 cell,0.4743083003952569,0.410958904109589,0.5607476635514018,107.0,2
"central memory CD4-positive, alpha-beta T cell",0.7161125319693096,0.7671232876712328,0.6714628297362111,417.0,2
"effector CD8-positive, alpha-beta T cell",0.7591836734693876,0.7622950819672131,0.7560975609756098,123.0,2
"effector memory CD8-positive, alpha-beta T cell",0.6113537117903931,0.6422018348623854,0.5833333333333334,120.0,2
gamma-delta T cell,0.29230769230769227,0.2289156626506024,0.40425531914893614,47.0,2
mature NK T cell,0.8834355828220859,0.8780487804878049,0.8888888888888888,81.0,2
mucosal invariant T cell,0.54421768707483,0.5797101449275363,0.5128205128205128,78.0,2
naive B cell,0.9865951742627346,1.0,0.9735449735449735,189.0,2
"naive thymus-derived CD4-positive, alpha-beta T cell",0.7673469387755102,0.7230769230769231,0.8173913043478261,230.0,2
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7804878048780487,0.757396449704142,0.8050314465408805,159.0,2
CD14-positive monocyte,0.995,0.9900497512437811,1.0,199.0,3
"CD16-negative, CD56-bright natural killer cell, human",0.9125,0.9358974358974359,0.8902439024390244,82.0,3
"CD16-positive, CD56-dim natural killer cell, human",0.9707446808510638,0.9707446808510638,0.9707446808510638,376.0,3
T-helper 22 cell,0.6279069767441859,0.6044776119402985,0.6532258064516129,124.0,3
"central memory CD4-positive, alpha-beta T cell",0.6058823529411764,0.5885714285714285,0.6242424242424243,165.0,3
"effector CD8-positive, alpha-beta T cell",0.8847926267281105,0.8533333333333334,0.9186602870813397,209.0,3
