cell_type,f1,precision,recall,support
naive B cell,0.9958775385387677,1.0,0.9918365899518893,124.8
CD14-positive monocyte,0.9931919647889833,0.9936093869535687,0.9927960513629379,230.6
"CD16-positive, CD56-dim natural killer cell, human",0.9543330010338362,0.9573846323559738,0.953257785830689,316.4
"CD16-negative, CD56-bright natural killer cell, human",0.9001562831384472,0.962937062937063,0.8468545761011643,49.4
mature NK T cell,0.8700480449578132,0.9408318526601878,0.8124347856071639,89.8
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8098107551659718,0.7896196209359155,0.8319364490916472,295.8
"effector CD8-positive, alpha-beta T cell",0.7882893076585472,0.753039568383173,0.8350149829006096,131.2
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7687766091936903,0.7673844054126757,0.7724812680819078,156.2
"effector memory CD8-positive, alpha-beta T cell",0.6748572755944582,0.6802350426150718,0.6718899888702996,118.4
"central memory CD4-positive, alpha-beta T cell",0.6244996566373012,0.6229380286414443,0.6378317798421175,223.0
mucosal invariant T cell,0.5630806612772773,0.590780800121492,0.5462422634836428,69.2
T-helper 22 cell,0.5617764472048676,0.5492709664679442,0.5978705641958365,133.8
gamma-delta T cell,0.43171918182474556,0.473334298109455,0.41321898592188616,82.8
