cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9826131821438555,0.9780046710210837,0.9873249428411437,230.6
plasmacytoid dendritic cell,0.9742222222222223,0.9759197324414716,0.975,13.0
"CD16-positive, CD56-dim natural killer cell, human",0.9380290631708423,0.9253979227947735,0.9524738991484906,316.4
erythrocyte,0.9308683473389356,0.9630952380952381,0.9021885521885522,10.6
mature NK T cell,0.8550628003106924,0.9231975867269986,0.7996359447474681,89.8
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8401827350776138,0.8013075850470346,0.8864808354372998,295.8
naive B cell,0.8215355159679871,0.7298983332373259,0.939903096000657,124.8
"CD16-negative, CD56-bright natural killer cell, human",0.813219306528856,0.8117546150760706,0.8165682493438264,49.4
platelet,0.811022750325076,0.8120872834259562,0.8341441441441442,39.6
dendritic cell,0.8047619047619048,1.0,0.7166666666666666,3.2
"effector CD8-positive, alpha-beta T cell",0.8044519248241618,0.757440557154516,0.8673262624299933,131.2
myeloid dendritic cell,0.7747115384615385,0.7505724538619276,0.8235376388317566,22.4
IgA plasma cell,0.7676190476190476,0.9454545454545455,0.691111111111111,4.2
"dendritic cell, human",0.7209067040825887,0.7745002727397353,0.6960020371785077,24.0
"effector memory CD8-positive, alpha-beta T cell",0.7086854432735517,0.7167563310817132,0.7025476681647513,118.4
mucosal invariant T cell,0.673717351695768,0.6768455353773475,0.6716755083996463,69.2
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6723123077337843,0.7103230219494844,0.6506363520227124,156.2
"erythroid progenitor cell, mammalian",0.6466666666666667,0.7333333333333333,0.6833333333333333,2.4
"central memory CD4-positive, alpha-beta T cell",0.6163512245875651,0.5973591826241904,0.6669534620974593,223.0
T-helper 22 cell,0.595411264731196,0.5863139561555054,0.6450515098370492,133.8
class switched memory B cell,0.5100768122717201,0.5877489177489178,0.45933253738131785,30.6
gamma-delta T cell,0.39110447764964207,0.5006669326302644,0.35246477065433013,82.8
"CD34-positive, CD38-negative hematopoietic stem cell",0.3333333333333333,0.4,0.3,2.2
natural killer cell,0.23714285714285716,0.5,0.16666666666666666,3.6
"CD4-positive, alpha-beta T cell",0.2,0.2,0.2,0.8
B cell,0.19999999999999996,0.25,0.16999999999999998,3.8
"effector memory CD4-positive, alpha-beta T cell",0.19487179487179487,0.27999999999999997,0.15,4.2
T follicular helper cell,0.19436431309829008,0.38153846153846155,0.1390915231340763,25.8
"ILC1, human",0.18,0.4,0.11666666666666665,6.6
unswitched memory B cell,0.05,0.1,0.03333333333333333,8.8
immature B cell,0.016,0.1,0.008695652173913044,16.2
"CD14-low, CD16-positive monocyte",0.0,0.0,0.0,2.6
"CD8-positive, alpha-beta T cell",0.0,0.0,0.0,2.0
IgG plasma cell,0.0,0.0,0.0,1.6
T-helper 1 cell,0.0,0.0,0.0,2.4
T-helper 2 cell,0.0,0.0,0.0,0.6
IgM plasma cell,0.0,0.0,0.0,1.0
"group 2 innate lymphoid cell, human",0.0,0.0,0.0,1.2
plasmablast,0.0,0.0,0.0,1.4
regulatory T cell,0.0,0.0,0.0,1.6
