cell_type,f1,precision,recall,support,fold
B cell,0.5,1.0,0.3333333333333333,3.0,3
"CD14-low, CD16-positive monocyte",0.0,0.0,0.0,3.0,3
CD14-positive monocyte,0.9827160493827161,0.9660194174757282,1.0,199.0,3
"CD16-negative, CD56-bright natural killer cell, human",0.8834355828220859,0.8888888888888888,0.8780487804878049,82.0,3
"CD16-positive, CD56-dim natural killer cell, human",0.9556135770234986,0.9384615384615385,0.973404255319149,376.0,3
"CD34-positive, CD38-negative hematopoietic stem cell",0.6666666666666666,1.0,0.5,6.0,3
"CD4-positive, alpha-beta T cell",1.0,1.0,1.0,1.0,3
"CD8-positive, alpha-beta T cell",0.0,0.0,0.0,0.0,3
"ILC1, human",0.0,0.0,0.0,4.0,3
IgA plasma cell,1.0,1.0,1.0,2.0,3
IgG plasma cell,0.0,0.0,0.0,2.0,3
IgM plasma cell,0.0,0.0,0.0,0.0,3
T follicular helper cell,0.07407407407407407,0.2857142857142857,0.0425531914893617,47.0,3
T-helper 1 cell,0.0,0.0,0.0,0.0,3
T-helper 2 cell,0.0,0.0,0.0,0.0,3
T-helper 22 cell,0.6036363636363636,0.5496688741721855,0.6693548387096774,124.0,3
"central memory CD4-positive, alpha-beta T cell",0.47136563876651977,0.370242214532872,0.6484848484848484,165.0,3
class switched memory B cell,0.6470588235294118,0.6875,0.6111111111111112,18.0,3
dendritic cell,0.5,1.0,0.3333333333333333,3.0,3
"dendritic cell, human",0.608695652173913,0.5384615384615384,0.7,20.0,3
"effector CD8-positive, alpha-beta T cell",0.8395604395604396,0.7764227642276422,0.9138755980861244,209.0,3
"effector memory CD4-positive, alpha-beta T cell",0.0,0.0,0.0,8.0,3
"effector memory CD8-positive, alpha-beta T cell",0.7238095238095238,0.7169811320754716,0.7307692307692307,104.0,3
erythrocyte,0.9523809523809523,1.0,0.9090909090909091,11.0,3
"erythroid progenitor cell, mammalian",0.6666666666666666,0.5,1.0,2.0,3
gamma-delta T cell,0.5054945054945055,0.6301369863013698,0.42201834862385323,109.0,3
"group 2 innate lymphoid cell, human",0.0,0.0,0.0,1.0,3
immature B cell,0.6,0.6666666666666666,0.5454545454545454,11.0,3
mature NK T cell,0.7888888888888888,0.8987341772151899,0.7029702970297029,101.0,3
mucosal invariant T cell,0.7034482758620688,0.7846153846153846,0.6375,80.0,3
myeloid dendritic cell,0.6792452830188679,0.782608695652174,0.6,30.0,3
naive B cell,0.88659793814433,0.8269230769230769,0.9555555555555556,90.0,3
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8015364916773366,0.819371727748691,0.7844611528822055,399.0,3
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6334519572953737,0.6793893129770993,0.5933333333333334,150.0,3
natural killer cell,0.0,0.0,0.0,1.0,3
plasmablast,0.0,0.0,0.0,1.0,3
plasmacytoid dendritic cell,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0,3
platelet,0.5871559633027523,0.9142857142857143,0.43243243243243246,74.0,3
regulatory T cell,0.0,0.0,0.0,1.0,3
unswitched memory B cell,0.0,0.0,0.0,6.0,3
