cell_type,f1,precision,recall,support,fold
B cell,0.0,0.0,0.0,3.0,1
"CD14-low, CD16-positive monocyte",0.0,0.0,0.0,1.0,1
CD14-positive monocyte,0.977035490605428,0.975,0.9790794979079498,239.0,1
"CD16-negative, CD56-bright natural killer cell, human",0.896551724137931,0.896551724137931,0.896551724137931,58.0,1
"CD16-positive, CD56-dim natural killer cell, human",0.9512195121951219,0.9570552147239264,0.9454545454545454,495.0,1
"CD34-positive, CD38-negative hematopoietic stem cell",0.8,1.0,0.6666666666666666,3.0,1
"CD4-positive, alpha-beta T cell",0.0,0.0,0.0,2.0,1
"CD8-positive, alpha-beta T cell",0.0,0.0,0.0,3.0,1
"ILC1, human",0.0,0.0,0.0,3.0,1
IgA plasma cell,0.7499999999999999,1.0,0.6,5.0,1
IgG plasma cell,0.0,0.0,0.0,0.0,1
IgM plasma cell,0.0,0.0,0.0,2.0,1
T follicular helper cell,0.11428571428571428,0.25,0.07407407407407407,27.0,1
T-helper 1 cell,0.0,0.0,0.0,1.0,1
T-helper 2 cell,0.0,0.0,0.0,1.0,1
T-helper 22 cell,0.4712041884816754,0.36,0.6818181818181818,66.0,1
"central memory CD4-positive, alpha-beta T cell",0.5020576131687242,0.5083333333333333,0.4959349593495935,123.0,1
class switched memory B cell,0.7435897435897436,0.8529411764705882,0.6590909090909091,44.0,1
dendritic cell,1.0,1.0,1.0,4.0,1
"dendritic cell, human",0.6842105263157896,0.8125,0.5909090909090909,22.0,1
"effector CD8-positive, alpha-beta T cell",0.6688311688311689,0.673202614379085,0.6645161290322581,155.0,1
"effector memory CD4-positive, alpha-beta T cell",0.0,0.0,0.0,8.0,1
"effector memory CD8-positive, alpha-beta T cell",0.6906077348066298,0.6906077348066298,0.6906077348066298,181.0,1
erythrocyte,1.0,1.0,1.0,1.0,1
"erythroid progenitor cell, mammalian",0.8571428571428571,0.75,1.0,3.0,1
gamma-delta T cell,0.4129032258064516,0.43243243243243246,0.3950617283950617,81.0,1
"group 2 innate lymphoid cell, human",0.0,0.0,0.0,0.0,1
immature B cell,0.3225806451612903,0.625,0.21739130434782608,23.0,1
mature NK T cell,0.8392857142857142,0.912621359223301,0.7768595041322314,121.0,1
mucosal invariant T cell,0.5673758865248227,0.5633802816901409,0.5714285714285714,70.0,1
myeloid dendritic cell,0.8666666666666666,0.8125,0.9285714285714286,28.0,1
naive B cell,0.8508287292817679,0.7777777777777778,0.9390243902439024,164.0,1
"naive thymus-derived CD4-positive, alpha-beta T cell",0.7921568627450981,0.7593984962406015,0.8278688524590164,244.0,1
"naive thymus-derived CD8-positive, alpha-beta T cell",0.8370607028753994,0.8397435897435898,0.8343949044585988,157.0,1
natural killer cell,0.28571428571428575,0.5,0.2,5.0,1
plasmablast,0.0,0.0,0.0,3.0,1
plasmacytoid dendritic cell,0.9767441860465117,1.0,0.9545454545454546,22.0,1
platelet,0.962962962962963,0.9285714285714286,1.0,26.0,1
regulatory T cell,0.0,0.0,0.0,3.0,1
unswitched memory B cell,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0,1
