cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9856997613348675,0.9816173691790816,0.989856588410764,230.6
plasmacytoid dendritic cell,0.9733198517020559,1.0,0.9492424242424242,13.0
"CD16-positive, CD56-dim natural killer cell, human",0.9416647776894838,0.9345920539364879,0.9502242590737581,316.4
erythrocyte,0.8907070707070707,0.9777777777777779,0.8238215488215488,10.6
naive B cell,0.8600627087967947,0.8127216730201805,0.9143088790982361,124.8
dendritic cell,0.86,0.8666666666666666,0.9,3.2
mature NK T cell,0.8593215714482945,0.9215500258581333,0.8076568930451803,89.8
"CD16-negative, CD56-bright natural killer cell, human",0.8418564683937948,0.8486087120108075,0.8374893478334972,49.4
IgA plasma cell,0.8033333333333333,0.9454545454545455,0.731111111111111,4.2
platelet,0.7963467709523885,0.8289648275592777,0.7988138138138139,39.6
"naive thymus-derived CD4-positive, alpha-beta T cell",0.7951953538956028,0.7753717561528508,0.8180651951318347,295.8
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7766232536997176,0.772561935061935,0.7839583662311888,156.2
"erythroid progenitor cell, mammalian",0.7714285714285714,0.85,0.8,2.4
"effector CD8-positive, alpha-beta T cell",0.7690454478892407,0.7331980139138888,0.8162476306527819,131.2
myeloid dendritic cell,0.7532976827094474,0.6978246753246753,0.8384223619517737,22.4
"dendritic cell, human",0.6737471854770617,0.7939102564102564,0.6000725744843391,24.0
class switched memory B cell,0.6663805668016194,0.7083960431019254,0.6339293497830083,30.6
"effector memory CD8-positive, alpha-beta T cell",0.6655712013300823,0.6642507736786285,0.669284954524092,118.4
"central memory CD4-positive, alpha-beta T cell",0.5575860059780541,0.5391515745110107,0.5961525414747595,223.0
mucosal invariant T cell,0.5537203726209563,0.5884336320956038,0.5294006568144499,69.2
T-helper 22 cell,0.5224711010275926,0.4972701155791883,0.5833745906459098,133.8
unswitched memory B cell,0.5145185185185185,0.5142857142857142,0.5153846153846154,8.8
immature B cell,0.5135659027879141,0.6912698412698413,0.4267827341740385,16.2
natural killer cell,0.49523809523809526,0.5833333333333333,0.47333333333333333,3.6
"CD34-positive, CD38-negative hematopoietic stem cell",0.45999999999999996,0.6,0.4,2.2
gamma-delta T cell,0.42046799364459203,0.45358527110847574,0.41194083540124965,82.8
"CD4-positive, alpha-beta T cell",0.4,0.4,0.4,0.8
T follicular helper cell,0.22011397662513282,0.35404344193817877,0.16876618259596982,25.8
"CD14-low, CD16-positive monocyte",0.22000000000000003,0.35,0.16666666666666666,2.6
"CD8-positive, alpha-beta T cell",0.2,0.4,0.13333333333333333,2.0
B cell,0.16666666666666669,0.4,0.10666666666666666,3.8
T-helper 2 cell,0.0,0.0,0.0,0.6
"effector memory CD4-positive, alpha-beta T cell",0.0,0.0,0.0,4.2
IgG plasma cell,0.0,0.0,0.0,1.6
T-helper 1 cell,0.0,0.0,0.0,2.4
"ILC1, human",0.0,0.0,0.0,6.6
IgM plasma cell,0.0,0.0,0.0,1.0
"group 2 innate lymphoid cell, human",0.0,0.0,0.0,1.2
plasmablast,0.0,0.0,0.0,1.4
regulatory T cell,0.0,0.0,0.0,1.6
