cell_type,f1,precision,recall,support,fold
B cell,0.6153846153846154,0.5,0.8,5.0,5
"CD14-low, CD16-positive monocyte",0.8,1.0,0.6666666666666666,6.0,5
"CD34-positive, CD38-negative hematopoietic stem cell",1.0,1.0,1.0,1.0,5
"CD4-positive, alpha-beta T cell",0.0,0.0,0.0,0.0,5
"CD8-positive, alpha-beta T cell",1.0,1.0,1.0,1.0,5
"ILC1, human",0.6666666666666666,0.5,1.0,3.0,5
IgA plasma cell,0.8,1.0,0.6666666666666666,3.0,5
IgG plasma cell,0.0,0.0,0.0,2.0,5
IgM plasma cell,0.0,0.0,0.0,0.0,5
T follicular helper cell,0.7777777777777778,0.6363636363636364,1.0,7.0,5
T-helper 1 cell,0.2857142857142857,1.0,0.16666666666666666,6.0,5
T-helper 2 cell,0.0,0.0,0.0,1.0,5
class switched memory B cell,0.8809523809523809,0.8222222222222222,0.9487179487179487,39.0,5
dendritic cell,1.0,1.0,1.0,2.0,5
"dendritic cell, human",0.7272727272727272,0.75,0.7058823529411765,17.0,5
"effector memory CD4-positive, alpha-beta T cell",0.0,0.0,0.0,0.0,5
erythrocyte,0.875,0.875,0.875,8.0,5
"erythroid progenitor cell, mammalian",1.0,1.0,1.0,1.0,5
"group 2 innate lymphoid cell, human",0.0,0.0,0.0,2.0,5
immature B cell,0.7826086956521738,0.6923076923076923,0.9,10.0,5
myeloid dendritic cell,0.7200000000000001,0.6428571428571429,0.8181818181818182,11.0,5
natural killer cell,0.8,1.0,0.6666666666666666,6.0,5
plasmablast,0.0,0.0,0.0,1.0,5
plasmacytoid dendritic cell,1.0,1.0,1.0,10.0,5
platelet,0.9600000000000001,0.9230769230769231,1.0,24.0,5
regulatory T cell,1.0,1.0,1.0,2.0,5
unswitched memory B cell,0.4444444444444444,0.8,0.3076923076923077,13.0,5
