representation,rep_key,k_train_donors,repeat,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used
hvg,hvg,3,1,0.6132376524201137,0.6358782094978414,1305,8802,13
hvg,hvg,3,2,0.7122253333030676,0.7395454545454545,1307,8800,13
hvg,hvg,3,3,0.5517750435634001,0.6242603550295858,1319,8788,13
hvg,hvg,3,4,0.6900251825440468,0.7501133272892112,1283,8824,13
hvg,hvg,3,5,0.7012853657619726,0.7326542161856253,1272,8835,13
hvg,hvg,5,1,0.7233816552096582,0.7745803357314148,2184,7923,13
hvg,hvg,5,2,0.6729967552683134,0.7174049441586147,2138,7969,13
hvg,hvg,5,3,0.7131517456430871,0.7681617182564751,2192,7915,13
hvg,hvg,5,4,0.7175495756482948,0.7579954671367414,2165,7942,13
hvg,hvg,5,5,0.7335240799952435,0.7664453076055632,2126,7981,13
hvg,hvg,8,1,0.7497401566150645,0.8012204424103737,3552,6555,13
hvg,hvg,8,2,0.7341441648175885,0.7467281380130875,3383,6724,13
hvg,hvg,8,3,0.7576915210821191,0.7927382753403933,3497,6610,13
hvg,hvg,8,4,0.7430409362021906,0.7844147968465737,3511,6596,13
hvg,hvg,8,5,0.7624962312736963,0.8023685019993848,3605,6502,13
hvg,hvg,10,1,0.7682228111248339,0.8048320767649074,4271,5836,13
hvg,hvg,10,2,0.7514753685520904,0.8201553123896929,4441,5666,13
hvg,hvg,10,3,0.744445404148771,0.7847944963838419,4438,5669,13
hvg,hvg,10,4,0.7553586338596663,0.8048392794065701,4445,5662,13
hvg,hvg,10,5,0.7686411383107937,0.8059360730593608,4413,5694,13
hvg,hvg,15,1,0.7569307622784314,0.7972587093089663,6605,3502,13
hvg,hvg,15,2,0.761350491100459,0.7909870058059165,6490,3617,13
hvg,hvg,15,3,0.772223807073721,0.8294218660560961,6613,3494,13
hvg,hvg,15,4,0.7691175638577067,0.7945747386267307,6568,3539,13
hvg,hvg,15,5,0.7833508507643019,0.8112230215827338,6632,3475,13
hvg,hvg,20,1,0.749410464265726,0.745724907063197,8762,1345,13
hvg,hvg,20,2,0.7630825612148798,0.8054331864904553,8745,1362,13
hvg,hvg,20,3,0.7250366603116059,0.7591463414634146,8795,1312,13
hvg,hvg,20,4,0.7304259125832748,0.786144578313253,8779,1328,13
hvg,hvg,20,5,0.7729486068829285,0.8583525789068515,8808,1299,13
pca,X_pca,3,1,0.680556492147883,0.7069984094523972,1305,8802,13
pca,X_pca,3,2,0.7591256817958209,0.7882954545454546,1307,8800,13
pca,X_pca,3,3,0.6772858983819074,0.7377105143377333,1319,8788,13
pca,X_pca,3,4,0.7358061921905878,0.7833182230281052,1283,8824,13
pca,X_pca,3,5,0.7484457027168627,0.7853989813242784,1272,8835,13
pca,X_pca,5,1,0.7485611586009757,0.801842736337246,2184,7923,13
pca,X_pca,5,2,0.7295755538225464,0.7647132638976032,2138,7969,13
pca,X_pca,5,3,0.7395076575674869,0.7852179406190777,2192,7915,13
pca,X_pca,5,4,0.7557045651712687,0.7926215059179048,2165,7942,13
pca,X_pca,5,5,0.7619015532639573,0.799398571607568,2126,7981,13
pca,X_pca,8,1,0.786892232014383,0.8274599542334096,3552,6555,13
pca,X_pca,8,2,0.7665031435485438,0.7836109458655562,3383,6724,13
pca,X_pca,8,3,0.7776179835027862,0.8145234493192133,3497,6610,13
pca,X_pca,8,4,0.7717684939112017,0.8068526379624015,3511,6596,13
pca,X_pca,8,5,0.7824670566195238,0.8203629652414641,3605,6502,13
pca,X_pca,10,1,0.7859414328365518,0.8236806031528444,4271,5836,13
pca,X_pca,10,2,0.7501545290913334,0.8238616307800918,4441,5666,13
pca,X_pca,10,3,0.7569601202846269,0.7925560063503263,4438,5669,13
pca,X_pca,10,4,0.7683672559561797,0.8203814906393501,4445,5662,13
pca,X_pca,10,5,0.7816513809778587,0.8184053389532842,4413,5694,13
pca,X_pca,15,1,0.7756433040400877,0.8132495716733296,6605,3502,13
pca,X_pca,15,2,0.7830054629308605,0.8183577550456179,6490,3617,13
pca,X_pca,15,3,0.7948848485966133,0.8506010303377218,6613,3494,13
pca,X_pca,15,4,0.783807272782608,0.8180276914382594,6568,3539,13
pca,X_pca,15,5,0.7917265479925473,0.8201438848920863,6632,3475,13
pca,X_pca,20,1,0.7674857971429805,0.7695167286245354,8762,1345,13
pca,X_pca,20,2,0.778749161589321,0.8333333333333334,8745,1362,13
pca,X_pca,20,3,0.7368456068195957,0.7515243902439024,8795,1312,13
pca,X_pca,20,4,0.7401754365040853,0.7891566265060241,8779,1328,13
pca,X_pca,20,5,0.7797626809579525,0.8729792147806005,8808,1299,13
harmony,X_harmony,3,1,0.6457862782418341,0.6781413315155647,1305,8802,13
harmony,X_harmony,3,2,0.6803356976831119,0.7120454545454545,1307,8800,13
harmony,X_harmony,3,3,0.6085724797289036,0.6637460172963131,1319,8788,13
harmony,X_harmony,3,4,0.7203217441745254,0.7684723481414325,1283,8824,13
harmony,X_harmony,3,5,0.7050781361613718,0.7412563667232598,1272,8835,13
harmony,X_harmony,5,1,0.7144397505934357,0.7677647355799571,2184,7923,13
harmony,X_harmony,5,2,0.6918775858350922,0.7300790563433304,2138,7969,13
harmony,X_harmony,5,3,0.7247058778150148,0.7732154137713203,2192,7915,13
harmony,X_harmony,5,4,0.7095986277681411,0.7488038277511961,2165,7942,13
harmony,X_harmony,5,5,0.7332544648632937,0.7708307229670467,2126,7981,13
harmony,X_harmony,8,1,0.7294669823730737,0.7783371472158658,3552,6555,13
harmony,X_harmony,8,2,0.7273532992065542,0.742266508030934,3383,6724,13
harmony,X_harmony,8,3,0.743434045047949,0.7798789712556732,3497,6610,13
harmony,X_harmony,8,4,0.7328367994096145,0.7739539114614918,3511,6596,13
harmony,X_harmony,8,5,0.7480072617924061,0.7903721931713319,3605,6502,13
harmony,X_harmony,10,1,0.7579621785331163,0.793351610692255,4271,5836,13
harmony,X_harmony,10,2,0.7403769479109926,0.8055065301800212,4441,5666,13
harmony,X_harmony,10,3,0.7359788083015139,0.7810901393543835,4438,5669,13
harmony,X_harmony,10,4,0.7403419894736266,0.7935358530554575,4445,5662,13
harmony,X_harmony,10,5,0.7421214267169981,0.7839831401475237,4413,5694,13
harmony,X_harmony,15,1,0.7279304845406203,0.7747001713306682,6605,3502,13
harmony,X_harmony,15,2,0.7633071139707011,0.7940282001658834,6490,3617,13
harmony,X_harmony,15,3,0.7693935340209339,0.8219805380652547,6613,3494,13
harmony,X_harmony,15,4,0.7615887716735167,0.7957050014128285,6568,3539,13
harmony,X_harmony,15,5,0.764806215433343,0.7982733812949641,6632,3475,13
harmony,X_harmony,20,1,0.742348703141793,0.7516728624535316,8762,1345,13
harmony,X_harmony,20,2,0.7421456664880897,0.7900146842878121,8745,1362,13
harmony,X_harmony,20,3,0.708606247346374,0.7240853658536586,8795,1312,13
harmony,X_harmony,20,4,0.7214887611192365,0.7582831325301205,8779,1328,13
harmony,X_harmony,20,5,0.7180286899268572,0.8267898383371824,8808,1299,13
scvi,X_scVI,3,1,0.6484266664742833,0.6790502158600318,1305,8802,13
scvi,X_scVI,3,2,0.7006599478174593,0.7304545454545455,1307,8800,13
scvi,X_scVI,3,3,0.5673592487900436,0.6220983158852982,1319,8788,13
scvi,X_scVI,3,4,0.7066076939285743,0.7554397098821396,1283,8824,13
