representation,rep_key,k_train_donors,repeat,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,batch_covariate
hvg,hvg,5,1,0.9600729089604425,0.9609300914159997,3230,105452,7,None
hvg,hvg,5,2,0.9549033194522464,0.9558848593883155,3072,105610,7,None
hvg,hvg,5,3,0.9548807311174491,0.9559129468314509,3413,105269,7,None
hvg,hvg,5,4,0.9596228628212121,0.9606523451961687,3339,105343,7,None
hvg,hvg,5,5,0.9603510358914902,0.9610590422706231,3266,105416,7,None
hvg,hvg,10,1,0.9605512155786308,0.9615384615384616,6450,102232,7,None
hvg,hvg,10,2,0.9629598915667684,0.9640519347969028,6785,101897,7,None
hvg,hvg,10,3,0.9606319452585643,0.9616287027079871,6392,102290,7,None
hvg,hvg,10,4,0.9605403990040134,0.9612402341837833,6540,102142,7,None
hvg,hvg,10,5,0.9547619471007388,0.9558885461045002,6577,102105,7,None
hvg,hvg,20,1,0.9631000967095409,0.96383327589268,12931,95751,7,None
hvg,hvg,20,2,0.9612296603867471,0.9620307479775199,13131,95551,7,None
hvg,hvg,20,3,0.9623358840636816,0.9632910599001316,12956,95726,7,None
hvg,hvg,20,4,0.9592384181726851,0.9601003501803167,13017,95665,7,None
hvg,hvg,20,5,0.9617779000424562,0.9627104465126006,13052,95630,7,None
hvg,hvg,40,1,0.9596195170261,0.9605082375828318,26437,82245,7,None
hvg,hvg,40,2,0.9632127590327043,0.9641475115663033,26763,81919,7,None
hvg,hvg,40,3,0.9622829235142899,0.9630117772242509,25980,82702,7,None
hvg,hvg,40,4,0.9642341449805086,0.9648878782747526,26004,82678,7,None
hvg,hvg,40,5,0.9612428031959102,0.962424965602893,26553,82129,7,None
hvg,hvg,80,1,0.9655316342575155,0.9669912348589839,53121,55561,7,None
hvg,hvg,80,2,0.9651533099642978,0.9657101123995796,52543,56139,7,None
hvg,hvg,80,3,0.9661133051811401,0.9668749889347237,52199,56483,7,None
hvg,hvg,80,4,0.9655186919898587,0.9664553945022157,52041,56641,7,None
hvg,hvg,80,5,0.9690343446349462,0.9697055342601262,52071,56611,7,None
hvg,hvg,120,1,0.9721914650238455,0.9727809865232689,78556,30126,7,None
hvg,hvg,120,2,0.9708473301258653,0.971830985915493,78578,30104,7,None
hvg,hvg,120,3,0.971995581716081,0.9724857375713122,78007,30675,7,None
hvg,hvg,120,4,0.9722925624009683,0.972808251289264,78820,29862,7,None
hvg,hvg,120,5,0.9727027415687858,0.9736410771031945,78787,29895,7,None
pca,X_pca,5,1,0.9470559679406171,0.9484504798391685,3230,105452,7,None
pca,X_pca,5,2,0.9445363752556487,0.9460183694725878,3072,105610,7,None
pca,X_pca,5,3,0.9398416768717339,0.9412172624419345,3413,105269,7,None
pca,X_pca,5,4,0.9445346526127832,0.9459005344446237,3339,105343,7,None
pca,X_pca,5,5,0.9459453360825288,0.9473609319268422,3266,105416,7,None
