representation,rep_key,k_train_donors,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,mean_train_cells,mean_test_cells,mean_n_classes_used
harmony,X_harmony,5,0.24082747775329133,0.01131207653501883,0.288231455473989,0.004850888051416243,3264.0,105418.0,7.0
harmony,X_harmony,10,0.2460883543012849,0.00600311811442747,0.29182210852378443,0.0009844954080670007,6548.8,102133.2,7.0
harmony,X_harmony,20,0.24216154700111964,0.0063671809370075,0.29142533219815286,0.002591608153201753,13017.4,95664.6,7.0
harmony,X_harmony,40,0.2417760353155345,0.006841362519336811,0.2933404500276949,0.0034010523600316485,26347.4,82334.6,7.0
harmony,X_harmony,80,0.23991949152049705,0.005480399713665957,0.29590453811605977,0.003992342799844905,52395.0,56287.0,7.0
harmony,X_harmony,120,0.2292045115760984,0.010007368600794014,0.28983292566874724,0.007082811914508467,78549.6,30132.4,7.0
hvg,hvg,5,0.24047782836060866,0.019457055987795954,0.2468425294137706,0.03339150332625544,3264.0,105418.0,7.0
hvg,hvg,10,0.2482035205041953,0.014356766357772928,0.262611643998326,0.02566502698691504,6548.8,102133.2,7.0
hvg,hvg,20,0.2540287284237349,0.0032578427063634768,0.2714969287284572,0.013631604307140274,13017.4,95664.6,7.0
hvg,hvg,40,0.2597881355146777,0.003481645568765199,0.27634413275838404,0.0026296578173866983,26347.4,82334.6,7.0
hvg,hvg,80,0.2649411915691469,0.003379014483298814,0.29012561428740585,0.002548167629011601,52395.0,56287.0,7.0
hvg,hvg,120,0.25323842756935144,0.007387617762116063,0.2887282088174214,0.004735186125101977,78549.6,30132.4,7.0
pca,X_pca,5,0.24169897909922705,0.010608644026570493,0.28656596009982654,0.006114767551519059,3264.0,105418.0,7.0
pca,X_pca,10,0.24781482218786838,0.0066935495428684395,0.29066999685770495,0.0012968717955551376,6548.8,102133.2,7.0
pca,X_pca,20,0.24458749455899445,0.00499739878230071,0.2908593279074464,0.0026264491436499846,13017.4,95664.6,7.0
pca,X_pca,40,0.2451972390833453,0.005524623720658376,0.29335302593544565,0.0031564273623109346,26347.4,82334.6,7.0
pca,X_pca,80,0.24127187244783746,0.00600286478629807,0.2958740293283268,0.0034484494648612876,52395.0,56287.0,7.0
pca,X_pca,120,0.23012645365264267,0.010089738754615715,0.2905484964385354,0.006268460392335271,78549.6,30132.4,7.0
