cell_type,f1,precision,recall,support,fold
B cells,0.1544453852667231,0.17701863354037267,0.13697807149294083,3329.0,1
CD4+ T cells,0.24747678643520388,0.18838352796558083,0.36058823529411765,3400.0,1
MAIT cells,0.0,0.0,0.0,2213.0,1
Myeloid cells,0.19452237808951237,0.17821297429620564,0.21411764705882352,3400.0,1
NK cells,0.8181246066708622,0.6942960905789362,0.9957107843137255,3264.0,1
TRAV1-2- CD8+ T cells,0.19814915623298857,0.18439716312056736,0.21411764705882352,3400.0,1
gd T cells,0.002126151665485471,0.2,0.0010687566797292483,2807.0,1
B cells,0.14039081768165435,0.1828966880869995,0.11391625615763547,3248.0,2
CD4+ T cells,0.2442027498460907,0.18461061123177164,0.3606060606060606,3300.0,2
MAIT cells,0.0,0.0,0.0,2496.0,2
Myeloid cells,0.19770700636942676,0.17054945054945056,0.23515151515151514,3300.0,2
NK cells,0.8741333333333333,0.7804761904761904,0.9933333333333333,3300.0,2
TRAV1-2- CD8+ T cells,0.19602272727272727,0.1707920792079208,0.23,3300.0,2
gd T cells,0.0,0.0,0.0,2719.0,2
B cells,0.13802281368821293,0.18520408163265306,0.11,3300.0,3
CD4+ T cells,0.2510271962433966,0.18535105460849466,0.3887878787878788,3300.0,3
MAIT cells,0.0,0.0,0.0,2087.0,3
Myeloid cells,0.18101612412534226,0.18173488087965792,0.1803030303030303,3300.0,3
NK cells,0.9371279221722085,0.8996375801505436,0.9778787878787879,3300.0,3
TRAV1-2- CD8+ T cells,0.23245367770915215,0.18465655664585193,0.31363636363636366,3300.0,3
gd T cells,0.0014331780723754925,0.13333333333333333,0.0007204610951008645,2776.0,3
B cells,0.18050974512743628,0.17318757192174913,0.18847839699436444,3194.0,4
CD4+ T cells,0.23604430025729947,0.18708990955843235,0.3196969696969697,3300.0,4
MAIT cells,0.0,0.0,0.0,2471.0,4
Myeloid cells,0.18132650156561345,0.17096081588835213,0.19303030303030302,3300.0,4
NK cells,0.9769046190761848,0.9670427553444181,0.9869696969696969,3300.0,4
TRAV1-2- CD8+ T cells,0.22366473066848877,0.17835088993824919,0.2998473282442748,3275.0,4
gd T cells,0.0,0.0,0.0,2875.0,4
B cells,0.1533399144455413,0.16339410939691446,0.1444513329200248,3226.0,5
CD4+ T cells,0.2163077667553835,0.18002416431735804,0.27090909090909093,3300.0,5
MAIT cells,0.0,0.0,0.0,2794.0,5
Myeloid cells,0.18610561988138943,0.17424643046007404,0.1996969696969697,3300.0,5
NK cells,0.7325660121868652,0.5836030204962244,0.9836363636363636,3300.0,5
TRAV1-2- CD8+ T cells,0.1998548270021776,0.16633105114780508,0.2503030303030303,3300.0,5
gd T cells,0.0,0.0,0.0,2908.0,5
