cell_type,f1,precision,recall,support,fold
B cells,0.19431480695799747,0.18359166221272047,0.2063682787623911,3329.0,1
CD4+ T cells,0.19276773296244784,0.18284960422163588,0.2038235294117647,3400.0,1
MAIT cells,0.05403533079321095,0.11572700296735905,0.03524627202892002,2213.0,1
Myeloid cells,0.18771526980482203,0.18329596412556054,0.1923529411764706,3400.0,1
NK cells,0.8276745675848814,0.7112970711297071,0.9895833333333334,3264.0,1
TRAV1-2- CD8+ T cells,0.20573903627504062,0.1905717151454363,0.2235294117647059,3400.0,1
gd T cells,0.10979847116052814,0.15695364238410597,0.08443177769861061,2807.0,1
B cells,0.18600557429954526,0.17764079574110395,0.19519704433497537,3248.0,2
CD4+ T cells,0.1990324809951624,0.18297331639135958,0.21818181818181817,3300.0,2
MAIT cells,0.055487053020961775,0.12032085561497326,0.036057692307692304,2496.0,2
Myeloid cells,0.19930020993701889,0.18517555266579974,0.21575757575757576,3300.0,2
NK cells,0.8811380112159759,0.8030416355023685,0.9760606060606061,3300.0,2
TRAV1-2- CD8+ T cells,0.1989867717421897,0.1857593273778245,0.21424242424242423,3300.0,2
gd T cells,0.11593554162936437,0.148084619782733,0.09525560867966164,2719.0,2
B cells,0.1935118288709449,0.1816972599095504,0.20696969696969697,3300.0,3
CD4+ T cells,0.19660460021905804,0.17932067932067933,0.2175757575757576,3300.0,3
MAIT cells,0.049869743208038705,0.11166666666666666,0.03210349784379492,2087.0,3
Myeloid cells,0.18896746817538898,0.17718832891246683,0.20242424242424242,3300.0,3
NK cells,0.943027830394871,0.908223407241089,0.9806060606060606,3300.0,3
TRAV1-2- CD8+ T cells,0.20142932768660668,0.1788063909774436,0.2306060606060606,3300.0,3
gd T cells,0.10652018151421065,0.15804394046775336,0.08033141210374639,2776.0,3
B cells,0.18454697053918845,0.16591704147926037,0.20788979336255478,3194.0,4
CD4+ T cells,0.20350599710030315,0.1800793095404712,0.23393939393939395,3300.0,4
MAIT cells,0.04039044092898014,0.12,0.024281667341157425,2471.0,4
Myeloid cells,0.19177328380795158,0.17561098513479464,0.2112121212121212,3300.0,4
NK cells,0.9752015822303363,0.9792239535594256,0.9712121212121212,3300.0,4
TRAV1-2- CD8+ T cells,0.20385081459539517,0.1823217726396917,0.23114503816793894,3275.0,4
gd T cells,0.11118674835488995,0.15992167101827676,0.08521739130434783,2875.0,4
B cells,0.1807726334414627,0.17238470191226096,0.19001859888406697,3226.0,5
CD4+ T cells,0.19252097255794112,0.18135547816769354,0.20515151515151514,3300.0,5
MAIT cells,0.04606060606060606,0.15019762845849802,0.02720114531138153,2794.0,5
Myeloid cells,0.17769484713650063,0.16880283610580857,0.18757575757575756,3300.0,5
NK cells,0.7522893242146749,0.6091608785432702,0.9833333333333333,3300.0,5
TRAV1-2- CD8+ T cells,0.20118343195266272,0.18799368088467613,0.21636363636363637,3300.0,5
gd T cells,0.11732973701955496,0.16937053861129137,0.08975240715268226,2908.0,5
