cell_type,f1,precision,recall,support,fold
B cells,0.14848265895953758,0.1862256456728591,0.12346049864824271,3329.0,1
CD4+ T cells,0.23729171060957605,0.18497204866820124,0.33088235294117646,3400.0,1
MAIT cells,0.0,0.0,0.0,2213.0,1
Myeloid cells,0.21219076766131093,0.18730301665916255,0.2447058823529412,3400.0,1
NK cells,0.8120939530234883,0.6856540084388185,0.9957107843137255,3264.0,1
TRAV1-2- CD8+ T cells,0.19416720674011667,0.1735805330243337,0.22029411764705883,3400.0,1
gd T cells,0.002117148906139732,0.1111111111111111,0.0010687566797292483,2807.0,1
B cells,0.16008388675288363,0.185125303152789,0.14100985221674878,3248.0,2
CD4+ T cells,0.23675334566423675,0.18468850789339672,0.3296969696969697,3300.0,2
MAIT cells,0.0,0.0,0.0,2496.0,2
Myeloid cells,0.213738630923887,0.17662183544303797,0.2706060606060606,3300.0,2
NK cells,0.8745826098570856,0.7819441127298782,0.9921212121212121,3300.0,2
TRAV1-2- CD8+ T cells,0.19418003807451725,0.1761223482979773,0.21636363636363637,3300.0,2
gd T cells,0.0,0.0,0.0,2719.0,2
B cells,0.11687012207324396,0.17206835592221567,0.08848484848484849,3300.0,3
CD4+ T cells,0.24158500213037926,0.18626806833114323,0.34363636363636363,3300.0,3
MAIT cells,0.0028382213812677384,0.1111111111111111,0.0014374700527072352,2087.0,3
Myeloid cells,0.2004270082732853,0.17906533142584644,0.22757575757575757,3300.0,3
NK cells,0.9355261242904962,0.9000280033604032,0.973939393939394,3300.0,3
TRAV1-2- CD8+ T cells,0.22699454767998217,0.17935642693863196,0.3090909090909091,3300.0,3
gd T cells,0.0076521739130434785,0.1111111111111111,0.003962536023054755,2776.0,3
B cells,0.16805377720870682,0.1719056974459725,0.1643706950532248,3194.0,4
CD4+ T cells,0.24240370495877103,0.19322888528723212,0.32515151515151514,3300.0,4
MAIT cells,0.0,0.0,0.0,2471.0,4
Myeloid cells,0.1954022988505747,0.17479674796747968,0.22151515151515153,3300.0,4
NK cells,0.9752289446029125,0.9663790538530199,0.9842424242424243,3300.0,4
TRAV1-2- CD8+ T cells,0.22126404175649605,0.176056338028169,0.29770992366412213,3275.0,4
gd T cells,0.0006891798759476224,0.037037037037037035,0.00034782608695652176,2875.0,4
B cells,0.14169491525423727,0.156320119670905,0.12957222566646,3226.0,5
CD4+ T cells,0.21465637261106188,0.18430775918278636,0.25696969696969696,3300.0,5
MAIT cells,0.0,0.0,0.0,2794.0,5
Myeloid cells,0.19741645605167088,0.18393511250654107,0.21303030303030304,3300.0,5
NK cells,0.7242109958737594,0.5729662961002294,0.9839393939393939,3300.0,5
TRAV1-2- CD8+ T cells,0.21098799630655585,0.1703952274422073,0.276969696969697,3300.0,5
gd T cells,0.0,0.0,0.0,2908.0,5
