scheme,representation,macro_f1,accuracy,n_cells_used,n_classes_used,batch_covariate,n_batch_features,repeat_seed
random_split,hvg,0.9707153603600209,0.971477204766067,108682,7,None,0,42
random_split,pca,0.9509501007033151,0.9523393292542669,108682,7,None,0,42
random_split,harmony,0.9458917531652666,0.9474168468509914,108682,7,None,0,42
random_split,hvg,0.9717611322873598,0.9725813129686709,108682,7,None,0,43
random_split,pca,0.9513057748256146,0.9527533698302434,108682,7,None,0,43
random_split,harmony,0.9470035445622894,0.9485209550535952,108682,7,None,0,43
random_split,hvg,0.9727045903428103,0.9734553986290656,108682,7,None,0,44
random_split,pca,0.9502023020786489,0.951511248102314,108682,7,None,0,44
random_split,harmony,0.9451483747605675,0.9466347702074803,108682,7,None,0,44
random_split,hvg,0.9723700642279469,0.9731793715784147,108682,7,None,0,45
random_split,pca,0.9511326165979245,0.9524313382711506,108682,7,None,0,45
random_split,harmony,0.9455961587862342,0.9470488107834568,108682,7,None,0,45
random_split,hvg,0.9722624974548998,0.973087362561531,108682,7,None,0,46
random_split,pca,0.9498236745604504,0.9513272300685467,108682,7,None,0,46
random_split,harmony,0.9456303566921791,0.947232828817224,108682,7,None,0,46
