cell_type,f1,precision,recall,support,fold
B cells,0.9987977156597535,0.9993984962406015,0.9981976569540403,3329.0,1
CD4+ T cells,0.925199709513435,0.9139167862266858,0.9367647058823529,3400.0,1
MAIT cells,0.9400490305326499,0.9274406332453826,0.9530049706281066,2213.0,1
Myeloid cells,0.9991176470588236,0.9991176470588236,0.9991176470588236,3400.0,1
NK cells,0.9817739975698664,0.9734939759036144,0.9901960784313726,3264.0,1
TRAV1-2- CD8+ T cells,0.8770245950809838,0.8947368421052632,0.86,3400.0,1
gd T cells,0.8666186012977649,0.8770521707406056,0.8564303526897044,2807.0,1
B cells,0.9989212513484358,1.0,0.9978448275862069,3248.0,2
CD4+ T cells,0.9356655796027276,0.9158444573418456,0.9563636363636364,3300.0,2
MAIT cells,0.9551882095200159,0.9497029702970297,0.9607371794871795,2496.0,2
Myeloid cells,0.999091459721381,0.9984866828087167,0.9996969696969698,3300.0,2
NK cells,0.9901679019815459,0.9885231048021745,0.9918181818181818,3300.0,2
TRAV1-2- CD8+ T cells,0.8841294298921417,0.8993730407523511,0.8693939393939394,3300.0,2
gd T cells,0.8853681267474371,0.8975812547241119,0.8734828981243105,2719.0,2
B cells,0.9992423094408244,0.9993937556835405,0.9990909090909091,3300.0,3
CD4+ T cells,0.9220523686998637,0.9210765043846386,0.923030303030303,3300.0,3
MAIT cells,0.947566423700917,0.930286241920591,0.9655007187350264,2087.0,3
Myeloid cells,0.9996969696969698,0.9996969696969698,0.9996969696969698,3300.0,3
NK cells,0.9770097670924117,0.9690014903129657,0.9851515151515151,3300.0,3
TRAV1-2- CD8+ T cells,0.862473018809744,0.8779033270558694,0.8475757575757575,3300.0,3
gd T cells,0.8371335504885994,0.8410909090909091,0.8332132564841499,2776.0,3
B cells,0.9990607388854101,0.9990607388854101,0.9990607388854101,3194.0,4
CD4+ T cells,0.934010152284264,0.9205414949970571,0.9478787878787879,3300.0,4
MAIT cells,0.9515151515151515,0.9499798305768455,0.953055443140429,2471.0,4
Myeloid cells,0.9992423094408244,0.9993937556835405,0.9990909090909091,3300.0,4
NK cells,0.9823556024732318,0.9777844491143801,0.9869696969696969,3300.0,4
TRAV1-2- CD8+ T cells,0.8845975590916113,0.8952470293933709,0.8741984732824427,3275.0,4
gd T cells,0.8880688806888068,0.8973721590909091,0.8789565217391304,2875.0,4
B cells,0.9992251665891834,0.9990703439727301,0.9993800371977681,3226.0,5
CD4+ T cells,0.9390892962743939,0.9168591224018475,0.9624242424242424,3300.0,5
MAIT cells,0.961566091954023,0.9650324441240087,0.9581245526127415,2794.0,5
Myeloid cells,0.9990909090909091,0.9990909090909091,0.9990909090909091,3300.0,5
NK cells,0.9825148243880188,0.9859627708269759,0.9790909090909091,3300.0,5
TRAV1-2- CD8+ T cells,0.8968528836018672,0.8913498952409459,0.9024242424242425,3300.0,5
gd T cells,0.8866088802405803,0.9129326047358834,0.8617606602475929,2908.0,5
