cell_type,f1,precision,recall,support,fold
B cells,0.9990985576923077,0.9993988578298768,0.9987984379693602,3329.0,1
CD4+ T cells,0.928850891175192,0.9154527277920594,0.9426470588235294,3400.0,1
MAIT cells,0.9490835030549898,0.9505893019038985,0.947582467239042,2213.0,1
Myeloid cells,0.9991176470588236,0.9991176470588236,0.9991176470588236,3400.0,1
NK cells,0.9881061299176578,0.9836065573770492,0.9926470588235294,3264.0,1
TRAV1-2- CD8+ T cells,0.8843597696056712,0.8881637496291902,0.8805882352941177,3400.0,1
gd T cells,0.884260097808368,0.8994104642593957,0.8696116850730317,2807.0,1
B cells,0.9992297026652288,1.0,0.9984605911330049,3248.0,2
CD4+ T cells,0.9445019979280745,0.9230546716806479,0.9669696969696969,3300.0,2
MAIT cells,0.9581266124230998,0.9492725127801809,0.9671474358974359,2496.0,2
Myeloid cells,0.9995455234055446,0.9993941229930324,0.9996969696969698,3300.0,2
NK cells,0.9898653758886704,0.988221081244337,0.9915151515151515,3300.0,2
TRAV1-2- CD8+ T cells,0.8943013270882123,0.9223832528180355,0.8678787878787879,3300.0,2
gd T cells,0.8893397270379934,0.8919718830928598,0.8867230599485105,2719.0,2
B cells,0.9993939393939394,0.9993939393939394,0.9993939393939394,3300.0,3
CD4+ T cells,0.9320036264732547,0.9294755877034359,0.9345454545454546,3300.0,3
MAIT cells,0.9581947743467933,0.9500706547338672,0.9664590321034978,2087.0,3
Myeloid cells,0.9998484618881649,1.0,0.9996969696969698,3300.0,3
NK cells,0.9779333434789226,0.9822684194435952,0.9736363636363636,3300.0,3
TRAV1-2- CD8+ T cells,0.8740762636712976,0.8531448355452972,0.8960606060606061,3300.0,3
gd T cells,0.8470719880641552,0.8781902552204176,0.8180835734870316,2776.0,3
B cells,0.9996870109546165,0.9993742177722152,1.0,3194.0,4
CD4+ T cells,0.9444527177959792,0.9285505124450951,0.9609090909090909,3300.0,4
MAIT cells,0.9591423948220065,0.9587545491306106,0.9595305544314043,2471.0,4
Myeloid cells,0.9995452478399273,1.0,0.9990909090909091,3300.0,4
NK cells,0.9827950498038032,0.9789536981358989,0.9866666666666667,3300.0,4
TRAV1-2- CD8+ T cells,0.8948995363214838,0.9061032863849765,0.8839694656488549,3275.0,4
gd T cells,0.8945147679324894,0.9043725559900462,0.8848695652173914,2875.0,4
B cells,0.9996901146575767,0.9993804213135068,1.0,3226.0,5
CD4+ T cells,0.9486530733740139,0.9321439017256508,0.9657575757575757,3300.0,5
MAIT cells,0.9651474530831099,0.9639414494823277,0.9663564781675018,2794.0,5
Myeloid cells,0.9996968778417702,1.0,0.9993939393939394,3300.0,5
NK cells,0.9864597596226989,0.9905285670638558,0.9824242424242424,3300.0,5
TRAV1-2- CD8+ T cells,0.9034819792302994,0.9107142857142857,0.8963636363636364,3300.0,5
gd T cells,0.8923556942277691,0.8996854246766864,0.8851444291609354,2908.0,5
