scheme,representation,macro_f1,accuracy,n_cells_used,n_classes_used,batch_covariate,n_batch_features,repeat_seed
random_split,hvg,0.9703838950679123,0.9711551732069743,108682,7,batch,14,42
random_split,pca,0.951266610228683,0.9526153563049179,108682,7,batch,14,42
random_split,harmony,0.9460752706505217,0.9476008648847587,108682,7,batch,14,42
random_split,hvg,0.972283108209452,0.973087362561531,108682,7,batch,14,43
random_split,pca,0.9514045163210421,0.9527993743386852,108682,7,batch,14,43
random_split,harmony,0.946890081021939,0.9483829415282697,108682,7,batch,14,43
random_split,hvg,0.9732187211370694,0.9739614482219258,108682,7,batch,14,44
random_split,pca,0.9507547469630921,0.9521093067120577,108682,7,batch,14,44
random_split,harmony,0.9454614057550438,0.947002806275015,108682,7,batch,14,44
random_split,hvg,0.9732851338858853,0.9740994617472513,108682,7,batch,14,45
random_split,pca,0.9521365308753696,0.9533514284399871,108682,7,batch,14,45
random_split,harmony,0.9457708868369069,0.9472788333256659,108682,7,batch,14,45
random_split,hvg,0.973746569284388,0.9745135023232276,108682,7,batch,14,46
random_split,pca,0.9502875018015072,0.9517412706445232,108682,7,batch,14,46
random_split,harmony,0.9460375489374071,0.9476008648847587,108682,7,batch,14,46
