representation,rep_key,k_train_donors,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,mean_train_cells,mean_test_cells,mean_n_classes_used
harmony,X_harmony,5,0.8780796113300349,0.06258519608572499,0.9611545057984537,0.021358074366634585,2288.4,6123.6,7.0
harmony,X_harmony,10,0.919050622542508,0.011719497849976236,0.9781452025228028,0.004289927838443732,4418.0,3994.0,7.0
harmony,X_harmony,15,0.9308751804705441,0.033254419745053256,0.98491909748598,0.010451468570848742,6734.6,1677.4,7.0
hvg,hvg,5,0.9663448790528623,0.026207933324381816,0.9871182757612023,0.011592991506287908,2288.4,6123.6,7.0
hvg,hvg,10,0.9789869705827725,0.005622075382101999,0.9939893464660139,0.000951918401598884,4418.0,3994.0,7.0
hvg,hvg,15,0.9777361779431535,0.007728713310991708,0.9935819418798756,0.003209076719265867,6734.6,1677.4,7.0
pca,X_pca,5,0.9704058372890758,0.004786408300594527,0.9885680783091445,0.0028411876831603107,2288.4,6123.6,7.0
pca,X_pca,10,0.9764201330334545,0.004893195572838253,0.9932387743566308,0.0010349034235086862,4418.0,3994.0,7.0
pca,X_pca,15,0.9698642262317195,0.022380296482490007,0.9934449396924421,0.003360404584483644,6734.6,1677.4,7.0
scvi,X_scVI,5,0.9636688336399718,0.021238372528988615,0.9870277518720508,0.009572790366628671,2288.4,6123.6,7.0
scvi,X_scVI,10,0.973973017099991,0.005966271146488972,0.992667504518395,0.0014723472557942254,4418.0,3994.0,7.0
scvi,X_scVI,15,0.9765177169733958,0.011047769767386847,0.9935221101107665,0.0032408370262491403,6734.6,1677.4,7.0
