cell_type,f1,precision,recall,support,fold
T cell,0.9793103448275862,1.0,0.9594594594594594,222.0,1
epithelial cell of proximal tubule,0.9982394366197183,0.9973614775725593,0.9991189427312775,1135.0,1
kidney capillary endothelial cell,1.0,1.0,1.0,36.0,1
kidney loop of Henle cortical thick ascending limb epithelial cell,0.7857142857142857,0.6547619047619048,0.9821428571428571,56.0,1
kidney loop of Henle descending limb epithelial cell,0.7424242424242423,0.9607843137254902,0.6049382716049383,81.0,1
mononuclear phagocyte,0.9967213114754099,0.9934640522875817,1.0,152.0,1
natural killer cell,0.9639639639639639,0.9304347826086956,1.0,107.0,1
T cell,0.9503105590062112,0.9161676646706587,0.9870967741935484,155.0,2
epithelial cell of proximal tubule,0.9995724668661822,0.9991452991452991,1.0,1169.0,2
kidney capillary endothelial cell,1.0,1.0,1.0,80.0,2
kidney loop of Henle cortical thick ascending limb epithelial cell,0.9627329192546584,0.9627329192546584,0.9627329192546584,161.0,2
kidney loop of Henle descending limb epithelial cell,0.8505747126436781,0.8604651162790697,0.8409090909090909,44.0,2
mononuclear phagocyte,0.9945054945054945,0.9890710382513661,1.0,181.0,2
natural killer cell,0.9448818897637796,1.0,0.8955223880597015,134.0,2
T cell,0.7889908256880733,0.6615384615384615,0.9772727272727273,44.0,3
epithelial cell of proximal tubule,0.9990115321252059,0.9986824769433466,0.999340804218853,1517.0,3
kidney capillary endothelial cell,1.0,1.0,1.0,32.0,3
kidney loop of Henle cortical thick ascending limb epithelial cell,0.9411764705882353,0.8888888888888888,1.0,32.0,3
kidney loop of Henle descending limb epithelial cell,0.9090909090909091,1.0,0.8333333333333334,36.0,3
mononuclear phagocyte,0.994535519125683,0.994535519125683,0.994535519125683,183.0,3
natural killer cell,0.8552631578947368,0.9848484848484849,0.7558139534883721,86.0,3
T cell,0.8536585365853657,1.0,0.7446808510638298,94.0,4
epithelial cell of proximal tubule,0.9990569003458032,0.9993710691823899,0.9987429289754871,1591.0,4
kidney capillary endothelial cell,1.0,1.0,1.0,44.0,4
kidney loop of Henle cortical thick ascending limb epithelial cell,0.9801324503311258,0.9736842105263158,0.9866666666666667,75.0,4
kidney loop of Henle descending limb epithelial cell,0.9032258064516129,0.9032258064516129,0.9032258064516129,31.0,4
mononuclear phagocyte,0.9960159362549801,0.9920634920634921,1.0,125.0,4
natural killer cell,0.30303030303030304,0.17857142857142858,1.0,5.0,4
T cell,0.9278350515463918,1.0,0.8653846153846154,104.0,5
epithelial cell of proximal tubule,0.9805680119581465,0.9618768328445748,1.0,328.0,5
kidney capillary endothelial cell,1.0,1.0,1.0,62.0,5
kidney loop of Henle cortical thick ascending limb epithelial cell,0.9347258485639687,0.9944444444444445,0.8817733990147784,203.0,5
kidney loop of Henle descending limb epithelial cell,0.2380952380952381,0.19230769230769232,0.3125,16.0,5
mononuclear phagocyte,0.975,0.9512195121951219,1.0,78.0,5
natural killer cell,0.7222222222222222,0.5652173913043478,1.0,13.0,5
