cell_type,f1,precision,recall,support,fold
T cell,0.9841986455981941,0.9864253393665159,0.9819819819819819,222.0,1
epithelial cell of proximal tubule,0.9973568281938326,0.9973568281938326,0.9973568281938326,1135.0,1
kidney capillary endothelial cell,1.0,1.0,1.0,36.0,1
kidney loop of Henle cortical thick ascending limb epithelial cell,0.9391304347826087,0.9152542372881356,0.9642857142857143,56.0,1
kidney loop of Henle descending limb epithelial cell,0.9367088607594937,0.961038961038961,0.9135802469135802,81.0,1
mononuclear phagocyte,0.9934640522875817,0.987012987012987,1.0,152.0,1
natural killer cell,0.9813084112149533,0.9813084112149533,0.9813084112149533,107.0,1
renal alpha-intercalated cell,1.0,1.0,1.0,14.0,1
renal principal cell,1.0,1.0,1.0,29.0,1
T cell,0.9741935483870968,0.9741935483870968,0.9741935483870968,155.0,2
epithelial cell of proximal tubule,0.9991452991452991,0.9982920580700256,1.0,1169.0,2
kidney capillary endothelial cell,1.0,1.0,1.0,80.0,2
kidney loop of Henle cortical thick ascending limb epithelial cell,0.9906542056074766,0.99375,0.9875776397515528,161.0,2
kidney loop of Henle descending limb epithelial cell,0.9425287356321839,0.9534883720930233,0.9318181818181818,44.0,2
mononuclear phagocyte,0.9945054945054945,0.9890710382513661,1.0,181.0,2
natural killer cell,0.9774436090225563,0.9848484848484849,0.9701492537313433,134.0,2
renal alpha-intercalated cell,1.0,1.0,1.0,31.0,2
renal principal cell,1.0,1.0,1.0,45.0,2
T cell,0.9772727272727273,0.9772727272727273,0.9772727272727273,44.0,3
epithelial cell of proximal tubule,0.998681608437706,0.998681608437706,0.998681608437706,1517.0,3
kidney capillary endothelial cell,1.0,1.0,1.0,32.0,3
kidney loop of Henle cortical thick ascending limb epithelial cell,0.9846153846153847,0.9696969696969697,1.0,32.0,3
kidney loop of Henle descending limb epithelial cell,0.9714285714285714,1.0,0.9444444444444444,36.0,3
mononuclear phagocyte,0.994535519125683,0.994535519125683,0.994535519125683,183.0,3
natural killer cell,1.0,1.0,1.0,86.0,3
renal alpha-intercalated cell,1.0,1.0,1.0,49.0,3
renal principal cell,0.9767441860465116,0.9545454545454546,1.0,21.0,3
T cell,0.9946524064171123,1.0,0.9893617021276596,94.0,4
epithelial cell of proximal tubule,0.9996856334486011,1.0,0.9993714644877436,1591.0,4
kidney capillary endothelial cell,0.9772727272727273,0.9772727272727273,0.9772727272727273,44.0,4
kidney loop of Henle cortical thick ascending limb epithelial cell,0.9668874172185431,0.9605263157894737,0.9733333333333334,75.0,4
kidney loop of Henle descending limb epithelial cell,0.9,0.9310344827586207,0.8709677419354839,31.0,4
mononuclear phagocyte,0.9960159362549801,0.9920634920634921,1.0,125.0,4
natural killer cell,0.9090909090909091,0.8333333333333334,1.0,5.0,4
renal alpha-intercalated cell,0.9655172413793104,0.9333333333333333,1.0,14.0,4
renal principal cell,1.0,1.0,1.0,21.0,4
T cell,0.9803921568627451,1.0,0.9615384615384616,104.0,5
epithelial cell of proximal tubule,0.9939024390243902,0.9939024390243902,0.9939024390243902,328.0,5
kidney capillary endothelial cell,1.0,1.0,1.0,62.0,5
kidney loop of Henle cortical thick ascending limb epithelial cell,0.9778869778869779,0.9754901960784313,0.9802955665024631,203.0,5
kidney loop of Henle descending limb epithelial cell,0.8,0.8571428571428571,0.75,16.0,5
mononuclear phagocyte,0.975,0.9512195121951219,1.0,78.0,5
natural killer cell,1.0,1.0,1.0,13.0,5
renal alpha-intercalated cell,1.0,1.0,1.0,27.0,5
renal principal cell,0.9940119760479041,0.9880952380952381,1.0,83.0,5
