cell_type,f1,precision,recall,support,fold
T cell,0.981651376146789,1.0,0.963963963963964,222.0,1
epithelial cell of proximal tubule,0.9978002639683238,0.9964850615114236,0.9991189427312775,1135.0,1
kidney capillary endothelial cell,1.0,1.0,1.0,36.0,1
kidney loop of Henle cortical thick ascending limb epithelial cell,0.972972972972973,0.9818181818181818,0.9642857142857143,56.0,1
kidney loop of Henle descending limb epithelial cell,0.9625,0.9746835443037974,0.9506172839506173,81.0,1
mononuclear phagocyte,0.9967213114754099,0.9934640522875817,1.0,152.0,1
natural killer cell,0.9683257918552036,0.9385964912280702,1.0,107.0,1
renal alpha-intercalated cell,1.0,1.0,1.0,14.0,1
renal principal cell,1.0,1.0,1.0,29.0,1
T cell,0.9650793650793651,0.95,0.9806451612903225,155.0,2
epithelial cell of proximal tubule,0.9991452991452991,0.9982920580700256,1.0,1169.0,2
kidney capillary endothelial cell,1.0,1.0,1.0,80.0,2
kidney loop of Henle cortical thick ascending limb epithelial cell,0.9748427672955975,0.9872611464968153,0.9627329192546584,161.0,2
kidney loop of Henle descending limb epithelial cell,0.9111111111111111,0.8913043478260869,0.9318181818181818,44.0,2
mononuclear phagocyte,0.9945054945054945,0.9890710382513661,1.0,181.0,2
natural killer cell,0.9655172413793104,0.9921259842519685,0.9402985074626866,134.0,2
renal alpha-intercalated cell,0.9841269841269841,0.96875,1.0,31.0,2
renal principal cell,0.9887640449438202,1.0,0.9777777777777777,45.0,2
T cell,0.9772727272727273,0.9772727272727273,0.9772727272727273,44.0,3
epithelial cell of proximal tubule,0.9990115321252059,0.9986824769433466,0.999340804218853,1517.0,3
kidney capillary endothelial cell,1.0,1.0,1.0,32.0,3
kidney loop of Henle cortical thick ascending limb epithelial cell,0.9846153846153847,0.9696969696969697,1.0,32.0,3
kidney loop of Henle descending limb epithelial cell,0.9714285714285714,1.0,0.9444444444444444,36.0,3
mononuclear phagocyte,0.994535519125683,0.994535519125683,0.994535519125683,183.0,3
natural killer cell,1.0,1.0,1.0,86.0,3
renal alpha-intercalated cell,1.0,1.0,1.0,49.0,3
renal principal cell,0.9523809523809523,0.9523809523809523,0.9523809523809523,21.0,3
T cell,0.9837837837837838,1.0,0.9680851063829787,94.0,4
epithelial cell of proximal tubule,0.9990574929311969,0.9987437185929648,0.9993714644877436,1591.0,4
kidney capillary endothelial cell,0.9885057471264368,1.0,0.9772727272727273,44.0,4
kidney loop of Henle cortical thick ascending limb epithelial cell,0.9866666666666667,0.9866666666666667,0.9866666666666667,75.0,4
kidney loop of Henle descending limb epithelial cell,0.9354838709677419,0.9354838709677419,0.9354838709677419,31.0,4
mononuclear phagocyte,0.9920634920634921,0.984251968503937,1.0,125.0,4
natural killer cell,0.9090909090909091,0.8333333333333334,1.0,5.0,4
renal alpha-intercalated cell,0.9655172413793104,0.9333333333333333,1.0,14.0,4
renal principal cell,0.975609756097561,1.0,0.9523809523809523,21.0,4
T cell,0.9651741293532339,1.0,0.9326923076923077,104.0,5
epithelial cell of proximal tubule,0.9954337899543378,0.993920972644377,0.9969512195121951,328.0,5
kidney capillary endothelial cell,1.0,1.0,1.0,62.0,5
kidney loop of Henle cortical thick ascending limb epithelial cell,0.9852216748768473,0.9852216748768473,0.9852216748768473,203.0,5
kidney loop of Henle descending limb epithelial cell,0.8666666666666667,0.9285714285714286,0.8125,16.0,5
mononuclear phagocyte,0.975,0.9512195121951219,1.0,78.0,5
natural killer cell,0.896551724137931,0.8125,1.0,13.0,5
renal alpha-intercalated cell,1.0,1.0,1.0,27.0,5
renal principal cell,0.9940119760479041,0.9880952380952381,1.0,83.0,5
