cell_type,f1,precision,recall,support,fold
T cell,0.9818181818181818,0.9908256880733946,0.972972972972973,222.0,1
epithelial cell of proximal tubule,0.9973614775725593,0.9956101843722563,0.9991189427312775,1135.0,1
kidney capillary endothelial cell,1.0,1.0,1.0,36.0,1
kidney loop of Henle cortical thick ascending limb epithelial cell,0.9734513274336283,0.9649122807017544,0.9821428571428571,56.0,1
kidney loop of Henle descending limb epithelial cell,0.9487179487179487,0.9866666666666667,0.9135802469135802,81.0,1
mononuclear phagocyte,0.9967213114754099,0.9934640522875817,1.0,152.0,1
natural killer cell,0.9724770642201835,0.954954954954955,0.9906542056074766,107.0,1
renal alpha-intercalated cell,1.0,1.0,1.0,14.0,1
renal principal cell,1.0,1.0,1.0,29.0,1
T cell,0.9776357827476039,0.9683544303797469,0.9870967741935484,155.0,2
epithelial cell of proximal tubule,0.9987184963690731,0.9974402730375427,1.0,1169.0,2
kidney capillary endothelial cell,1.0,1.0,1.0,80.0,2
kidney loop of Henle cortical thick ascending limb epithelial cell,0.9875776397515528,0.9875776397515528,0.9875776397515528,161.0,2
kidney loop of Henle descending limb epithelial cell,0.9176470588235294,0.9512195121951219,0.8863636363636364,44.0,2
mononuclear phagocyte,0.9972451790633609,0.9945054945054945,1.0,181.0,2
natural killer cell,0.9772727272727273,0.9923076923076923,0.9626865671641791,134.0,2
renal alpha-intercalated cell,0.9836065573770492,1.0,0.967741935483871,31.0,2
renal principal cell,0.989010989010989,0.9782608695652174,1.0,45.0,2
T cell,0.9555555555555556,0.9347826086956522,0.9772727272727273,44.0,3
epithelial cell of proximal tubule,0.999340804218853,0.999340804218853,0.999340804218853,1517.0,3
kidney capillary endothelial cell,1.0,1.0,1.0,32.0,3
kidney loop of Henle cortical thick ascending limb epithelial cell,1.0,1.0,1.0,32.0,3
kidney loop of Henle descending limb epithelial cell,1.0,1.0,1.0,36.0,3
mononuclear phagocyte,0.9917808219178083,0.9945054945054945,0.9890710382513661,183.0,3
natural killer cell,0.9882352941176471,1.0,0.9767441860465116,86.0,3
renal alpha-intercalated cell,1.0,1.0,1.0,49.0,3
renal principal cell,0.9767441860465116,0.9545454545454546,1.0,21.0,3
T cell,0.978494623655914,0.9891304347826086,0.9680851063829787,94.0,4
epithelial cell of proximal tubule,1.0,1.0,1.0,1591.0,4
kidney capillary endothelial cell,0.9887640449438202,0.9777777777777777,1.0,44.0,4
kidney loop of Henle cortical thick ascending limb epithelial cell,0.96,0.96,0.96,75.0,4
kidney loop of Henle descending limb epithelial cell,0.8852459016393442,0.9,0.8709677419354839,31.0,4
mononuclear phagocyte,0.9880478087649402,0.9841269841269841,0.992,125.0,4
natural killer cell,0.9090909090909091,0.8333333333333334,1.0,5.0,4
renal alpha-intercalated cell,1.0,1.0,1.0,14.0,4
renal principal cell,1.0,1.0,1.0,21.0,4
T cell,0.9603960396039604,0.9897959183673469,0.9326923076923077,104.0,5
epithelial cell of proximal tubule,0.9954198473282443,0.9969418960244648,0.9939024390243902,328.0,5
kidney capillary endothelial cell,0.991869918699187,1.0,0.9838709677419355,62.0,5
kidney loop of Henle cortical thick ascending limb epithelial cell,0.9625935162094763,0.9747474747474747,0.9507389162561576,203.0,5
kidney loop of Henle descending limb epithelial cell,0.7058823529411765,0.6666666666666666,0.75,16.0,5
mononuclear phagocyte,0.9570552147239264,0.9176470588235294,1.0,78.0,5
natural killer cell,0.8275862068965517,0.75,0.9230769230769231,13.0,5
renal alpha-intercalated cell,1.0,1.0,1.0,27.0,5
renal principal cell,0.9940119760479041,0.9880952380952381,1.0,83.0,5
