scheme,representation,macro_f1,accuracy,n_cells_used,n_classes_used,batch_covariate,n_batch_features,repeat_seed
random_split,hvg,0.9738238251749883,0.9922756981580511,8412,7,None,0,42
random_split,pca,0.978428423968731,0.9934640522875817,8412,7,None,0,42
random_split,harmony,0.9412724467292876,0.9827688651218063,8412,7,None,0,42
random_split,scvi,0.9807814401403719,0.994058229352347,8412,7,None,0,42
random_split,hvg,0.9785569716242967,0.9934640522875817,8412,7,None,0,43
random_split,pca,0.9820121643642079,0.9934640522875817,8412,7,None,0,43
random_split,harmony,0.9518016995009425,0.9851455733808675,8412,7,None,0,43
random_split,scvi,0.9739906422518353,0.9922756981580511,8412,7,None,0,43
random_split,hvg,0.9721743706298859,0.98989898989899,8412,7,None,0,44
random_split,pca,0.9719645650533053,0.9904931669637552,8412,7,None,0,44
random_split,harmony,0.9244581581308916,0.9768270944741533,8412,7,None,0,44
random_split,scvi,0.9730644063058703,0.98989898989899,8412,7,None,0,44
random_split,hvg,0.9701550598321746,0.98989898989899,8412,7,None,0,45
random_split,pca,0.9747248242826012,0.9910873440285205,8412,7,None,0,45
random_split,harmony,0.93752360284124,0.9815805109922757,8412,7,None,0,45
random_split,scvi,0.9807066500514278,0.9928698752228164,8412,7,None,0,45
random_split,hvg,0.9833603967578465,0.9946524064171123,8412,7,None,0,46
random_split,pca,0.9862346939899849,0.9952465834818776,8412,7,None,0,46
random_split,harmony,0.9366591565877395,0.9809863339275104,8412,7,None,0,46
random_split,scvi,0.981770795934285,0.9946524064171123,8412,7,None,0,46
