representation,rep_key,k_train_donors,repeat,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,batch_covariate
hvg,hvg,5,1,0.9147296897821797,0.9075733133606038,4194,69428,18,None
hvg,hvg,5,2,0.8702640846068154,0.8737988378800455,2545,71077,18,None
hvg,hvg,5,3,0.9017296897003018,0.8989723818669113,3849,69773,18,None
hvg,hvg,5,4,0.904049680358615,0.9083134160739482,4168,69454,18,None
hvg,hvg,5,5,0.8775666999329058,0.8780984195603964,2376,71246,18,None
hvg,hvg,10,1,0.9082089208335999,0.9021048625545244,5304,68318,18,None
hvg,hvg,10,2,0.918560407999787,0.9127115428397966,7737,65885,18,None
hvg,hvg,10,3,0.9196017563073613,0.915952369920771,8873,64749,18,None
hvg,hvg,10,4,0.9227131726126552,0.9180846971086976,6040,67582,18,None
hvg,hvg,10,5,0.920269964610517,0.9155226396917149,7190,66432,18,None
hvg,hvg,20,1,0.9205943631619308,0.9153806283335284,13813,59809,18,None
hvg,hvg,20,2,0.9234672379532736,0.9179009947811988,14413,59209,18,None
hvg,hvg,20,3,0.9225104166528606,0.9170715746421267,12497,61125,18,None
hvg,hvg,20,4,0.9169034798569692,0.9130744221406273,11799,61823,18,None
hvg,hvg,20,5,0.9232297424224924,0.9167152508659419,15304,58318,18,None
hvg,hvg,40,1,0.9264216604215412,0.9202461854083857,26828,46794,18,None
hvg,hvg,40,2,0.915032542913677,0.9060355528491463,30925,42697,18,None
hvg,hvg,40,3,0.9249329422166558,0.9194166780775024,29804,43818,18,None
hvg,hvg,40,4,0.9301864242157968,0.9237672375314211,31055,42567,18,None
hvg,hvg,40,5,0.9230128167706693,0.9171940458151351,28746,44876,18,None
hvg,hvg,80,1,0.9201659243191015,0.9176181371210052,55317,18305,18,None
hvg,hvg,80,2,0.9330039723216657,0.9256024251143194,54159,19463,18,None
hvg,hvg,80,3,0.9078376933512495,0.8985718247365502,59198,14424,18,None
hvg,hvg,80,4,0.9290435322044964,0.9230817295676081,57618,16004,18,None
hvg,hvg,80,5,0.9306430360846653,0.9255715386591318,58050,15572,18,None
pca,X_pca,5,1,0.8325669030246128,0.8372414587774385,4194,69428,18,None
pca,X_pca,5,2,0.7987826171403929,0.8214753014336564,2545,71077,18,None
pca,X_pca,5,3,0.8161498716492228,0.8265518180384963,3849,69773,18,None
pca,X_pca,5,4,0.8246093823960359,0.8388429752066116,4168,69454,18,None
pca,X_pca,5,5,0.8060421882939315,0.8267692221317688,2376,71246,18,None
pca,X_pca,10,1,0.8216430575479172,0.8293861061506484,5304,68318,18,None
pca,X_pca,10,2,0.8565393378317506,0.8574789405782803,7737,65885,18,None
pca,X_pca,10,3,0.8525288471027455,0.8617430385025251,8873,64749,18,None
pca,X_pca,10,4,0.8597065274878105,0.8632180166316474,6040,67582,18,None
pca,X_pca,10,5,0.8573485652000838,0.8610759874759152,7190,66432,18,None
pca,X_pca,20,1,0.8513886764803353,0.8547710210837833,13813,59809,18,None
pca,X_pca,20,2,0.8525151734066816,0.8605279602763093,14413,59209,18,None
pca,X_pca,20,3,0.8679274887497058,0.8703312883435583,12497,61125,18,None
pca,X_pca,20,4,0.8588588459092139,0.8654546042734904,11799,61823,18,None
pca,X_pca,20,5,0.8627013222980067,0.8625638739325766,15304,58318,18,None
pca,X_pca,40,1,0.8743671214853204,0.8761807069282387,26828,46794,18,None
pca,X_pca,40,2,0.8674483926534491,0.8711384874815561,30925,42697,18,None
pca,X_pca,40,3,0.8593768940232785,0.8705554794833174,29804,43818,18,None
pca,X_pca,40,4,0.8766190093258351,0.8797190311743839,31055,42567,18,None
pca,X_pca,40,5,0.8755160400105073,0.8784651038416971,28746,44876,18,None
pca,X_pca,80,1,0.8758199762705112,0.8813985249931713,55317,18305,18,None
pca,X_pca,80,2,0.8789045207607946,0.8786929044854339,54159,19463,18,None
pca,X_pca,80,3,0.8668901248557669,0.8744453688297282,59198,14424,18,None
pca,X_pca,80,4,0.885441250017958,0.8867783054236441,57618,16004,18,None
pca,X_pca,80,5,0.8796382456828438,0.882738248137683,58050,15572,18,None
harmony,X_harmony,5,1,0.8247437889147443,0.8317249524687446,4194,69428,18,None
harmony,X_harmony,5,2,0.788362252955143,0.8146939234914248,2545,71077,18,None
harmony,X_harmony,5,3,0.8059192879660777,0.8209765955312227,3849,69773,18,None
harmony,X_harmony,5,4,0.8081924184602562,0.8224868258127682,4168,69454,18,None
harmony,X_harmony,5,5,0.7830755506070378,0.8047328972854616,2376,71246,18,None
harmony,X_harmony,10,1,0.8039929182893388,0.8189203431013788,5304,68318,18,None
harmony,X_harmony,10,2,0.8358583959641867,0.8443044699096911,7737,65885,18,None
harmony,X_harmony,10,3,0.8327348661521415,0.8423759440300236,8873,64749,18,None
