cell_type,f1,precision,recall,support,fold
AT1,0.9442176870748299,0.9652294853963839,0.9241011984021305,751.0,1
AT2,0.9349559378934117,0.9042207792207793,0.9678540399652477,1151.0,1
B cell lineage,0.80039331366765,0.8532494758909853,0.7537037037037037,540.0,1
Basal,0.9067415730337078,0.8976640711902113,0.9160045402951191,881.0,1
Dendritic cells,0.8394062078272605,0.8536139066788655,0.8256637168141593,1130.0,1
EC arterial,0.5674846625766872,0.6690777576853526,0.49267643142476697,751.0,1
EC capillary,0.7515583259127337,0.7442680776014109,0.7589928057553957,556.0,1
EC venous,0.7677041046459179,0.7056384742951907,0.8417408506429278,1011.0,1
Fibroblasts,0.9791437980241493,0.9695652173913043,0.9889135254988913,902.0,1
Innate lymphoid cell NK,0.7430830039525691,0.6950092421441775,0.7983014861995754,471.0,1
Lymphatic EC mature,0.974716652136007,0.980701754385965,0.9688041594454073,577.0,1
Macrophages,0.8713540067546823,0.832258064516129,0.9143041237113402,1552.0,1
Mast cells,0.9828178694158075,0.988479262672811,0.9772209567198178,439.0,1
Monocytes,0.8219821512447159,0.8706467661691543,0.7784697508896797,1124.0,1
Multiciliated lineage,0.9780859916782247,0.9761904761904762,0.9799888827126181,1799.0,1
Secretory,0.8513169073916738,0.8496325607687959,0.8530079455164585,1762.0,1
Submucosal Secretory,0.5471014492753624,0.6088709677419355,0.4967105263157895,304.0,1
T cell lineage,0.814088274632189,0.83,0.7987751531058618,1143.0,1
AT1,0.9629629629629629,0.969758064516129,0.9562624254473161,503.0,2
AT2,0.9557135046473483,0.9418103448275862,0.9700332963374029,901.0,2
B cell lineage,0.8165137614678898,0.8460076045627376,0.7890070921985816,564.0,2
Basal,0.9181659895531051,0.9284037558685446,0.9081515499425947,871.0,2
Dendritic cells,0.8006535947712419,0.831447963800905,0.7720588235294118,952.0,2
EC arterial,0.5266187050359712,0.56656346749226,0.49193548387096775,372.0,2
EC capillary,0.7953340402969246,0.7731958762886598,0.8187772925764192,458.0,2
EC venous,0.8202182653647329,0.8122866894197952,0.8283062645011601,862.0,2
Fibroblasts,0.9892051030421983,0.9882352941176471,0.9901768172888016,509.0,2
Innate lymphoid cell NK,0.7575020275750202,0.7996575342465754,0.7195685670261941,649.0,2
Lymphatic EC mature,0.9862258953168045,0.9835164835164835,0.988950276243094,362.0,2
Macrophages,0.8308042488619121,0.8069270449521002,0.856137607505864,1279.0,2
Mast cells,0.9979674796747967,0.9979674796747967,0.9979674796747967,492.0,2
Monocytes,0.8291390728476822,0.8444244604316546,0.8143972246313964,1153.0,2
Multiciliated lineage,0.981023102310231,0.9933166248955723,0.9690301548492257,1227.0,2
Secretory,0.8504561681872274,0.8189457601222307,0.8844884488448845,1212.0,2
Submucosal Secretory,0.5922077922077922,0.7354838709677419,0.4956521739130435,230.0,2
T cell lineage,0.8198162205353576,0.7755102040816326,0.8694915254237288,1180.0,2
AT1,0.9371428571428572,0.9184,0.9566666666666667,600.0,3
AT2,0.9070825211176089,0.9407008086253369,0.875784190715182,797.0,3
B cell lineage,0.8530734632683658,0.8163558106169297,0.8932496075353218,637.0,3
Basal,0.9020664869721473,0.9020664869721473,0.9020664869721473,1113.0,3
Dendritic cells,0.79603547209181,0.8284473398479913,0.7660642570281124,996.0,3
EC arterial,0.5570698466780238,0.6089385474860335,0.5133437990580848,637.0,3
EC capillary,0.7785136129506991,0.7256515775034293,0.8396825396825397,630.0,3
EC venous,0.7871999999999999,0.7909967845659164,0.7834394904458599,942.0,3
Fibroblasts,0.9881324172392254,0.9974779319041615,0.9789603960396039,808.0,3
Innate lymphoid cell NK,0.8602564102564102,0.8736979166666666,0.8472222222222222,792.0,3
Lymphatic EC mature,0.9824086603518267,0.983739837398374,0.981081081081081,370.0,3
Macrophages,0.7691633815155496,0.8369876072449952,0.7115072933549432,1234.0,3
Mast cells,0.9913978494623655,0.9935344827586207,0.9892703862660944,466.0,3
Monocytes,0.8354725787631271,0.7868131868131868,0.8905472636815921,1206.0,3
Multiciliated lineage,0.9802276812462551,0.9879227053140096,0.9726516052318668,1682.0,3
Secretory,0.8314465408805033,0.8060975609756098,0.8584415584415584,1540.0,3
Submucosal Secretory,0.7227101631116688,0.7291139240506329,0.7164179104477612,402.0,3
T cell lineage,0.8758064516129033,0.8564668769716088,0.8960396039603961,1212.0,3
AT1,0.9118852459016393,0.8794466403162056,0.9468085106382979,470.0,4
AT2,0.9248845992446495,0.95,0.9010629599345871,1223.0,4
B cell lineage,0.8229166666666666,0.883668903803132,0.7699805068226121,513.0,4
Basal,0.8696711327649209,0.8104426787741204,0.938239159001314,761.0,4
Dendritic cells,0.7987048030221262,0.7437185929648241,0.8624708624708625,858.0,4
EC arterial,0.6374829001367989,0.7491961414790996,0.5547619047619048,420.0,4
EC capillary,0.7897435897435898,0.804177545691906,0.7758186397984886,397.0,4
EC venous,0.7763779527559055,0.7186588921282799,0.8441780821917808,584.0,4
Fibroblasts,0.9855334538878843,0.9855334538878843,0.9855334538878843,553.0,4
Innate lymphoid cell NK,0.8753943217665614,0.9113300492610837,0.842185128983308,659.0,4
Lymphatic EC mature,0.9811866859623734,0.9797687861271677,0.9826086956521739,345.0,4
Macrophages,0.8157286044718581,0.8246297739672642,0.8070175438596491,1311.0,4
Mast cells,0.9852631578947368,0.9790794979079498,0.9915254237288136,236.0,4
Monocytes,0.7970123022847101,0.8156474820143885,0.7792096219931272,1164.0,4
Multiciliated lineage,0.978079331941545,0.9832109129066107,0.9730010384215991,963.0,4
Secretory,0.7733333333333334,0.7845993756503642,0.7623862487360971,989.0,4
Submucosal Secretory,0.6975881261595547,0.8173913043478261,0.6084142394822006,309.0,4
T cell lineage,0.8622448979591837,0.8203883495145631,0.9086021505376344,930.0,4
AT1,0.9685039370078741,0.9534883720930233,0.984,250.0,5
AT2,0.9756871035940803,0.9756871035940803,0.9756871035940803,946.0,5
B cell lineage,0.8637627432808155,0.8629629629629629,0.8645640074211502,539.0,5
Basal,0.8980852378011118,0.9008674101610905,0.895320197044335,812.0,5
Dendritic cells,0.8281740690892777,0.8444647758462946,0.8125,1136.0,5
EC arterial,0.6475485661424607,0.6653992395437263,0.6306306306306306,555.0,5
EC capillary,0.7914055505819159,0.7366666666666667,0.8549323017408124,517.0,5
EC venous,0.8172506738544475,0.8431590656284761,0.7928870292887029,956.0,5
Fibroblasts,0.994199535962877,0.9953542392566783,0.9930475086906141,863.0,5
Innate lymphoid cell NK,0.8212290502793297,0.8106617647058824,0.8320754716981132,530.0,5
Lymphatic EC mature,0.9785575048732942,0.9728682170542635,0.984313725490196,255.0,5
Macrophages,0.7920704845814979,0.8225068618481244,0.7638062871707731,1177.0,5
Mast cells,0.9957007738607051,0.9965576592082617,0.9948453608247423,582.0,5
Monocytes,0.8605003790750569,0.8147882268485284,0.9116465863453815,1245.0,5
Multiciliated lineage,0.9854388036206218,0.9920760697305864,0.9788897576231431,1279.0,5
Secretory,0.8378947368421054,0.7921974522292994,0.8891867739052726,1119.0,5
Submucosal Secretory,0.7223021582733813,0.8685121107266436,0.6182266009852216,406.0,5
T cell lineage,0.8729488982653539,0.889207258834766,0.8572744014732965,1086.0,5
