,AT1,AT2,B cell lineage,Basal,Dendritic cells,EC arterial,EC capillary,EC venous,Fibroblasts,Innate lymphoid cell NK,Lymphatic EC mature,Macrophages,Mast cells,Monocytes,Multiciliated lineage,Secretory,Submucosal Secretory,T cell lineage
AT1,481,9,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2
AT2,5,874,0,5,0,0,0,0,2,2,0,3,0,1,0,6,1,2
B cell lineage,1,0,445,3,17,0,1,2,0,0,0,1,0,1,1,2,0,90
Basal,1,5,1,791,0,0,0,0,0,0,0,1,0,0,1,70,0,1
Dendritic cells,0,1,51,0,735,0,0,0,0,0,0,117,0,37,1,3,0,7
EC arterial,0,0,0,0,0,183,59,127,1,0,1,0,0,1,0,0,0,0
EC capillary,1,0,1,0,0,43,375,32,2,0,3,0,0,0,0,0,0,1
EC venous,0,0,0,0,0,94,48,714,1,1,1,1,0,1,0,0,1,0
Fibroblasts,0,0,0,1,0,0,0,1,504,0,0,0,0,3,0,0,0,0
Innate lymphoid cell NK,0,0,0,1,0,1,0,0,0,467,0,0,0,2,0,0,0,178
Lymphatic EC mature,0,0,0,0,0,1,1,2,0,0,358,0,0,0,0,0,0,0
Macrophages,0,0,1,0,57,0,0,0,0,0,0,1095,1,124,0,1,0,0
Mast cells,0,0,0,0,0,0,0,0,0,0,0,0,491,1,0,0,0,0
Monocytes,0,0,4,0,71,0,0,1,0,0,0,135,0,939,0,0,1,2
Multiciliated lineage,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1189,31,0,2
Secretory,6,34,4,39,0,0,0,0,0,0,1,2,0,0,5,1072,37,12
Submucosal Secretory,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,114,114,0
T cell lineage,1,2,18,9,4,1,1,0,0,113,0,2,0,2,0,1,0,1026
