cell_type,f1,precision,recall,support
AT1,0.9118852459016393,0.8794466403162056,0.9468085106382979,470.0
AT2,0.9248845992446495,0.95,0.9010629599345871,1223.0
B cell lineage,0.8229166666666666,0.883668903803132,0.7699805068226121,513.0
Basal,0.8696711327649209,0.8104426787741204,0.938239159001314,761.0
Dendritic cells,0.7987048030221262,0.7437185929648241,0.8624708624708625,858.0
EC arterial,0.6374829001367989,0.7491961414790996,0.5547619047619048,420.0
EC capillary,0.7897435897435898,0.804177545691906,0.7758186397984886,397.0
EC venous,0.7763779527559055,0.7186588921282799,0.8441780821917808,584.0
Fibroblasts,0.9855334538878843,0.9855334538878843,0.9855334538878843,553.0
Innate lymphoid cell NK,0.8753943217665614,0.9113300492610837,0.842185128983308,659.0
Lymphatic EC mature,0.9811866859623734,0.9797687861271677,0.9826086956521739,345.0
Macrophages,0.8157286044718581,0.8246297739672642,0.8070175438596491,1311.0
Mast cells,0.9852631578947368,0.9790794979079498,0.9915254237288136,236.0
Monocytes,0.7970123022847101,0.8156474820143885,0.7792096219931272,1164.0
Multiciliated lineage,0.978079331941545,0.9832109129066107,0.9730010384215991,963.0
Secretory,0.7733333333333334,0.7845993756503642,0.7623862487360971,989.0
Submucosal Secretory,0.6975881261595547,0.8173913043478261,0.6084142394822006,309.0
T cell lineage,0.8622448979591837,0.8203883495145631,0.9086021505376344,930.0
