cell_type,f1,precision,recall,support
AT1,0.9543650793650793,0.9524752475247524,0.9562624254473161,503.0
AT2,0.9487603305785125,0.9420131291028446,0.9556048834628191,901.0
B cell lineage,0.9680851063829787,0.9680851063829787,0.9680851063829787,564.0
Basal,0.9060710194730814,0.904,0.9081515499425947,871.0
Dendritic cells,0.8918067226890757,0.8918067226890757,0.8918067226890757,952.0
EC arterial,0.8711340206185566,0.8366336633663366,0.9086021505376344,372.0
EC capillary,0.8510638297872339,0.8735632183908046,0.8296943231441049,458.0
EC venous,0.929316338354577,0.9282407407407407,0.9303944315545244,862.0
Fibroblasts,0.9780876494023903,0.9919191919191919,0.9646365422396856,509.0
Innate lymphoid cell NK,0.8959627329192548,0.9029733959311425,0.889060092449923,649.0
Lymphatic EC mature,0.9875173370319001,0.9916434540389972,0.9834254143646409,362.0
Macrophages,0.9061891786687427,0.9023255813953488,0.910086004691165,1279.0
Mast cells,0.9928789420142421,0.9938900203665988,0.991869918699187,492.0
Monocytes,0.9178617992177314,0.9198606271777003,0.9158716392020815,1153.0
Multiciliated lineage,0.9829129373474369,0.9813160032493907,0.9845150774246129,1227.0
Secretory,0.9013157894736843,0.898360655737705,0.9042904290429042,1212.0
Submucosal Secretory,0.9186813186813187,0.9288888888888889,0.908695652173913,230.0
T cell lineage,0.9330490405117271,0.9390557939914163,0.9271186440677966,1180.0
