,AT1,AT2,B cell lineage,Basal,Dendritic cells,EC arterial,EC capillary,EC venous,Fibroblasts,Innate lymphoid cell NK,Lymphatic EC mature,Macrophages,Mast cells,Monocytes,Multiciliated lineage,Secretory,Submucosal Secretory,T cell lineage
AT1,553,29,0,2,0,0,0,0,0,0,0,1,0,1,0,14,0,0
AT2,31,722,1,6,0,0,2,2,0,0,0,1,1,0,3,27,0,1
B cell lineage,0,0,611,2,5,0,0,0,0,0,0,1,0,0,1,1,0,16
Basal,3,6,0,992,1,0,2,1,0,5,0,3,0,2,5,88,2,3
Dendritic cells,0,2,4,5,888,0,0,0,0,0,0,73,0,20,1,1,0,2
EC arterial,0,0,0,2,0,523,76,32,0,0,0,1,0,0,0,0,0,3
EC capillary,0,0,1,2,0,38,552,33,0,1,1,0,0,0,0,1,0,1
EC venous,0,0,1,2,0,18,29,888,0,0,0,0,0,3,0,1,0,0
Fibroblasts,0,1,1,0,1,0,5,1,785,0,0,1,0,0,3,5,0,5
Innate lymphoid cell NK,0,1,0,0,0,0,0,0,0,737,0,0,0,1,0,0,0,53
Lymphatic EC mature,0,2,0,0,0,0,2,1,0,0,365,0,0,0,0,0,0,0
Macrophages,0,5,0,4,75,0,2,1,0,1,0,1066,1,70,0,8,0,1
Mast cells,0,0,0,1,3,0,0,0,0,0,0,2,460,0,0,0,0,0
Monocytes,0,1,0,3,26,0,1,1,0,0,0,59,0,1109,1,3,0,2
Multiciliated lineage,0,1,0,14,0,0,0,0,0,2,0,0,0,0,1640,22,0,3
Secretory,6,22,0,103,0,0,0,0,1,0,0,4,0,3,13,1375,12,1
Submucosal Secretory,0,0,0,4,0,0,0,0,1,0,0,0,0,0,2,16,378,1
T cell lineage,0,1,2,4,2,0,2,0,0,42,0,2,0,3,1,7,0,1146
