cell_type,f1,precision,recall,support
Mast cells,0.9870923083031835,0.9909824179242506,0.9835540693265659,443.0
Lymphatic EC mature,0.9851727264823369,0.9880688900930785,0.9823156026913942,381.8
Fibroblasts,0.9830489677082992,0.9892203667613974,0.9770391265841789,727.0
Multiciliated lineage,0.9782172425513533,0.9801585825102894,0.9762911448145888,1390.0
B cell lineage,0.9728135571216232,0.978295147396865,0.967453307518897,558.6
Submucosal Secretory,0.9456156904567085,0.9490750815995479,0.9427154094440947,330.2
AT2,0.9435832429491529,0.9396212048653148,0.9477447373068356,1003.6
T cell lineage,0.9365317269490541,0.9339076111326572,0.9394980705317654,1110.2
AT1,0.9362386089670262,0.9442600606744165,0.9285032221681574,514.8
EC venous,0.9306402952497006,0.9302978066448645,0.9310347701298461,871.0
Innate lymphoid cell NK,0.9186360993809173,0.9214579260418821,0.9162740061670019,620.2
Monocytes,0.8946353037961229,0.8918230697567306,0.8975769332856125,1178.4
Secretory,0.8847550300921257,0.881425483957727,0.8893769899649836,1324.4
Dendritic cells,0.8837207675243786,0.885059827870526,0.8824383240390044,1014.4
EC arterial,0.8778594808518985,0.882716831987052,0.8747326253491305,547.0
Basal,0.8762566741896599,0.877696295213467,0.8763083722170076,887.6
Macrophages,0.8757513549712801,0.8736183242404361,0.8780901700506154,1310.6
EC capillary,0.8339981499349678,0.8353812696408284,0.8333466217666177,511.6
