cell_type,f1,precision,recall,support,fold
AT1,0.9535519125683061,0.9789621318373072,0.929427430093209,751.0,1
AT2,0.9277058086084413,0.893719806763285,0.9643788010425717,1151.0,1
B cell lineage,0.8777670837343599,0.9138276553106213,0.8444444444444444,540.0,1
Basal,0.8970672800460034,0.9090909090909091,0.8853575482406356,881.0,1
Dendritic cells,0.8597533120146186,0.8885741265344664,0.8327433628318585,1130.0,1
EC arterial,0.6980728051391863,0.7523076923076923,0.6511318242343542,751.0,1
EC capillary,0.7717206132879048,0.7330097087378641,0.814748201438849,556.0,1
EC venous,0.8128342245989305,0.7992351816443595,0.8269040553907022,1011.0,1
Fibroblasts,0.9801980198019802,0.972707423580786,0.9878048780487805,902.0,1
Innate lymphoid cell NK,0.8595564941921857,0.8550420168067226,0.8641188959660298,471.0,1
Lymphatic EC mature,0.9638128861429832,0.9820143884892086,0.9462738301559792,577.0,1
Macrophages,0.8671875000000001,0.8125,0.9297680412371134,1552.0,1
Mast cells,0.9851428571428572,0.9885321100917431,0.9817767653758542,439.0,1
Monocytes,0.8213610586011343,0.876008064516129,0.7731316725978647,1124.0,1
Multiciliated lineage,0.9794215795328143,0.9799666110183639,0.9788771539744302,1799.0,1
Secretory,0.8725099601593626,0.875,0.8700340522133939,1762.0,1
Submucosal Secretory,0.7491638795986622,0.7619047619047619,0.7368421052631579,304.0,1
T cell lineage,0.8929345470307759,0.8848797250859106,0.9011373578302713,1143.0,1
AT1,0.965931863727455,0.9737373737373738,0.9582504970178927,503.0,2
AT2,0.9564744287268772,0.9381003201707577,0.9755826859045506,901.0,2
B cell lineage,0.9200343938091143,0.8931552587646077,0.9485815602836879,564.0,2
Basal,0.9124212936462507,0.9098173515981736,0.9150401836969001,871.0,2
Dendritic cells,0.8633938100320171,0.8774403470715835,0.8497899159663865,952.0,2
EC arterial,0.6082191780821917,0.6201117318435754,0.5967741935483871,372.0,2
EC capillary,0.8132596685082872,0.8232662192393736,0.8034934497816594,458.0,2
EC venous,0.8757870635374928,0.864406779661017,0.8874709976798144,862.0,2
Fibroblasts,0.9882121807465619,0.9882121807465619,0.9882121807465619,509.0,2
Innate lymphoid cell NK,0.7865519937451134,0.7984126984126985,0.7750385208012327,649.0,2
Lymphatic EC mature,0.9917127071823204,0.9917127071823204,0.9917127071823204,362.0,2
Macrophages,0.8539670371789958,0.837593984962406,0.870992963252541,1279.0,2
Mast cells,0.9939148073022313,0.9919028340080972,0.9959349593495935,492.0,2
Monocytes,0.8345965225144896,0.8587155963302753,0.8117953165654813,1153.0,2
Multiciliated lineage,0.9848298482984831,0.990924092409241,0.9788101059494703,1227.0,2
