cell_type,f1,precision,recall,support
AT1,0.9535519125683061,0.9789621318373072,0.929427430093209,751.0
AT2,0.9277058086084413,0.893719806763285,0.9643788010425717,1151.0
B cell lineage,0.8777670837343599,0.9138276553106213,0.8444444444444444,540.0
Basal,0.8970672800460034,0.9090909090909091,0.8853575482406356,881.0
Dendritic cells,0.8597533120146186,0.8885741265344664,0.8327433628318585,1130.0
EC arterial,0.6980728051391863,0.7523076923076923,0.6511318242343542,751.0
EC capillary,0.7717206132879048,0.7330097087378641,0.814748201438849,556.0
EC venous,0.8128342245989305,0.7992351816443595,0.8269040553907022,1011.0
Fibroblasts,0.9801980198019802,0.972707423580786,0.9878048780487805,902.0
Innate lymphoid cell NK,0.8595564941921857,0.8550420168067226,0.8641188959660298,471.0
Lymphatic EC mature,0.9638128861429832,0.9820143884892086,0.9462738301559792,577.0
Macrophages,0.8671875000000001,0.8125,0.9297680412371134,1552.0
Mast cells,0.9851428571428572,0.9885321100917431,0.9817767653758542,439.0
Monocytes,0.8213610586011343,0.876008064516129,0.7731316725978647,1124.0
Multiciliated lineage,0.9794215795328143,0.9799666110183639,0.9788771539744302,1799.0
Secretory,0.8725099601593626,0.875,0.8700340522133939,1762.0
Submucosal Secretory,0.7491638795986622,0.7619047619047619,0.7368421052631579,304.0
T cell lineage,0.8929345470307759,0.8848797250859106,0.9011373578302713,1143.0
