,AT1,AT2,B cell lineage,Basal,Dendritic cells,EC arterial,EC capillary,EC venous,Fibroblasts,Innate lymphoid cell NK,Lymphatic EC mature,Macrophages,Mast cells,Monocytes,Multiciliated lineage,Secretory,Submucosal Secretory,T cell lineage
AT1,236,5,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,2
AT2,3,931,1,2,0,0,0,1,0,0,0,0,0,1,1,6,0,0
B cell lineage,0,1,465,1,53,0,1,0,1,1,0,2,0,1,0,1,2,10
Basal,0,1,1,730,1,0,0,0,0,0,0,0,0,2,1,70,4,2
Dendritic cells,0,0,22,0,996,0,0,0,0,0,0,49,0,64,0,1,1,3
EC arterial,0,0,3,0,0,381,69,97,0,0,5,0,0,0,0,0,0,0
EC capillary,0,0,4,0,0,48,430,22,1,0,7,0,0,1,0,0,3,1
EC venous,0,0,3,1,0,118,30,785,1,0,10,0,0,1,1,2,4,0
Fibroblasts,0,0,0,1,0,1,1,0,857,0,0,2,0,0,0,0,1,0
Innate lymphoid cell NK,0,0,0,0,0,0,0,0,0,446,0,0,0,0,0,0,0,84
Lymphatic EC mature,0,0,0,0,0,0,2,2,0,0,251,0,0,0,0,0,0,0
Macrophages,0,2,2,0,104,1,3,0,1,0,0,879,0,182,0,2,0,1
Mast cells,0,0,0,0,0,0,0,0,0,2,0,1,575,4,0,0,0,0
Monocytes,0,1,0,1,29,0,1,0,0,1,0,69,1,1141,0,0,1,0
Multiciliated lineage,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1255,22,0,0
Secretory,2,16,1,64,0,0,0,0,0,0,0,1,0,0,6,999,30,0
Submucosal Secretory,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,84,317,1
T cell lineage,0,26,14,1,2,0,2,0,0,107,0,6,1,38,0,1,0,888
