cell_type,f1,precision,recall,support,fold
AT1,0.9579158316633267,0.9611260053619303,0.9547270306258322,751.0,1
AT2,0.9568965517241379,0.9495295124037639,0.9643788010425717,1151.0,1
B cell lineage,0.9720149253731343,0.9793233082706767,0.9648148148148148,540.0,1
Basal,0.8936915887850467,0.9205776173285198,0.8683314415437003,881.0,1
Dendritic cells,0.9151624548736462,0.9337016574585635,0.8973451327433628,1130.0,1
EC arterial,0.9284307288246881,0.9158031088082902,0.9414114513981359,751.0,1
EC capillary,0.8719785138764548,0.8680926916221033,0.8758992805755396,556.0,1
EC venous,0.9355158730158729,0.9383084577114428,0.9327398615232443,1011.0,1
Fibroblasts,0.9780219780219781,0.9694989106753813,0.9866962305986696,902.0,1
Innate lymphoid cell NK,0.9282786885245903,0.897029702970297,0.9617834394904459,471.0,1
Lymphatic EC mature,0.9712793733681462,0.9755244755244755,0.9670710571923743,577.0,1
Macrophages,0.9054726368159204,0.875,0.9381443298969072,1552.0,1
Mast cells,0.9863013698630138,0.988558352402746,0.9840546697038725,439.0,1
Monocytes,0.8850045998160073,0.9161904761904762,0.8558718861209964,1124.0,1
Multiciliated lineage,0.9832962138084632,0.984941438929169,0.9816564758198999,1799.0,1
Secretory,0.9078575466365179,0.9042792792792793,0.9114642451759364,1762.0,1
Submucosal Secretory,0.9015873015873016,0.8711656441717791,0.9342105263157895,304.0,1
T cell lineage,0.9491978609625669,0.9673024523160763,0.931758530183727,1143.0,1
AT1,0.9731343283582091,0.9741035856573705,0.9721669980119284,503.0,2
AT2,0.9642267473858007,0.9563318777292577,0.9722530521642619,901.0,2
B cell lineage,0.9715302491103202,0.975,0.9680851063829787,564.0,2
Basal,0.9246693502012651,0.9262672811059908,0.9230769230769231,871.0,2
Dendritic cells,0.9171842650103519,0.9040816326530612,0.930672268907563,952.0,2
EC arterial,0.8959999999999999,0.8888888888888888,0.9032258064516129,372.0,2
EC capillary,0.868131868131868,0.8738938053097345,0.8624454148471615,458.0,2
EC venous,0.9397450753186558,0.9386574074074074,0.9408352668213457,862.0,2
Fibroblasts,0.9881656804733727,0.9920792079207921,0.9842829076620825,509.0,2
Innate lymphoid cell NK,0.8981846882399369,0.9207119741100324,0.8767334360554699,649.0,2
Lymphatic EC mature,0.9917127071823204,0.9917127071823204,0.9917127071823204,362.0,2
Macrophages,0.9176652493235408,0.9074923547400612,0.928068803752932,1279.0,2
Mast cells,0.9939024390243902,0.9939024390243902,0.9939024390243902,492.0,2
Monocytes,0.9264184397163121,0.9474161378059837,0.9063313096270599,1153.0,2
Multiciliated lineage,0.9861788617886178,0.9837793998377939,0.9885900570497147,1227.0,2
Secretory,0.9001650165016503,0.9001650165016502,0.9001650165016502,1212.0,2
Submucosal Secretory,0.87248322147651,0.8986175115207373,0.8478260869565217,230.0,2
T cell lineage,0.9346186085498742,0.9245439469320066,0.9449152542372882,1180.0,2
AT1,0.9548069022185702,0.9416531604538088,0.9683333333333334,600.0,3
AT2,0.9123028391167192,0.9175126903553299,0.9071518193224593,797.0,3
B cell lineage,0.9737051792828684,0.988673139158576,0.9591836734693877,637.0,3
Basal,0.9017074296262114,0.926944971537002,0.8778077268643306,1113.0,3
Dendritic cells,0.9011741682974559,0.8788167938931297,0.9246987951807228,996.0,3
EC arterial,0.8640533778148457,0.9217081850533808,0.8131868131868132,637.0,3
EC capillary,0.850190114068441,0.8160583941605839,0.8873015873015873,630.0,3
EC venous,0.9390756302521007,0.9293139293139293,0.9490445859872612,942.0,3
Fibroblasts,0.9906542056074766,0.9974905897114178,0.9839108910891089,808.0,3
Innate lymphoid cell NK,0.9498117942283564,0.9438902743142145,0.9558080808080808,792.0,3
Lymphatic EC mature,0.9932157394843961,0.997275204359673,0.9891891891891892,370.0,3
Macrophages,0.8737781555461114,0.9186773905272565,0.833063209076175,1234.0,3
Mast cells,0.9946294307196564,0.9956989247311828,0.9935622317596566,466.0,3
Monocytes,0.9258208350222943,0.9056304520222046,0.9469320066334992,1206.0,3
Multiciliated lineage,0.9841459766676638,0.9903672486453944,0.9780023781212842,1682.0,3
Secretory,0.8943904732058915,0.8643246517262265,0.9266233766233766,1540.0,3
Submucosal Secretory,0.9518987341772152,0.9690721649484536,0.9353233830845771,402.0,3
T cell lineage,0.9551624845742493,0.9524200164068909,0.9579207920792079,1212.0,3
AT1,0.9373695198329854,0.9200819672131147,0.9553191489361702,470.0,4
AT2,0.9509151414309485,0.9678238780694327,0.9345870809484873,1223.0,4
B cell lineage,0.9814995131450828,0.980544747081712,0.9824561403508771,513.0,4
Basal,0.8782608695652174,0.8327444051825678,0.9290407358738502,761.0,4
Dendritic cells,0.8899352560329605,0.8989298454221165,0.8811188811188811,858.0,4
EC arterial,0.8984830805134189,0.8810068649885584,0.9166666666666666,420.0,4
EC capillary,0.8754914809960682,0.912568306010929,0.8413098236775819,397.0,4
EC venous,0.9455782312925171,0.9391891891891891,0.952054794520548,584.0,4
Fibroblasts,0.9838420107719928,0.9768270944741533,0.9909584086799277,553.0,4
Innate lymphoid cell NK,0.9684684684684685,0.9583952451708767,0.9787556904400607,659.0,4
Lymphatic EC mature,0.9882697947214076,1.0,0.9768115942028985,345.0,4
Macrophages,0.8655812192351381,0.8593984962406015,0.8718535469107551,1311.0,4
Mast cells,0.9789029535864979,0.9747899159663865,0.9830508474576272,236.0,4
Monocytes,0.887186036611324,0.8793248945147679,0.8951890034364262,1164.0,4
Multiciliated lineage,0.981874676333506,0.9793388429752066,0.9844236760124611,963.0,4
Secretory,0.8493297587131368,0.9041095890410958,0.8008088978766431,989.0,4
Submucosal Secretory,0.9510268562401264,0.9290123456790124,0.9741100323624595,309.0,4
T cell lineage,0.9606469002695418,0.9632432432432433,0.9580645161290322,930.0,4
AT1,0.9598393574297188,0.9637096774193549,0.956,250.0,5
AT2,0.979957805907173,0.9778947368421053,0.9820295983086681,946.0,5
B cell lineage,0.9795539033457249,0.9813780260707635,0.9777365491651205,539.0,5
Basal,0.9094269870609981,0.9099876695437731,0.9088669950738916,812.0,5
Dendritic cells,0.9020641194554239,0.9000876424189308,0.9040492957746479,1136.0,5
EC arterial,0.9064486830154405,0.9139194139194139,0.8990990990990991,555.0,5
EC capillary,0.8491096532333646,0.8236363636363636,0.8762088974854932,517.0,5
EC venous,0.9401799894123875,0.9517684887459807,0.9288702928870293,956.0,5
Fibroblasts,0.9947826086956523,0.9953596287703016,0.9942062572421785,863.0,5
Innate lymphoid cell NK,0.9319271332694152,0.9473684210526315,0.9169811320754717,530.0,5
Lymphatic EC mature,0.9901768172888017,0.9921259842519685,0.9882352941176471,255.0,5
Macrophages,0.85586791610888,0.9013157894736842,0.8147833474936279,1177.0,5
Mast cells,0.9930795847750865,1.0,0.9862542955326461,582.0,5
Monocytes,0.9006163328197226,0.8652849740932642,0.9389558232931727,1245.0,5
Multiciliated lineage,0.9856087125632049,0.9806501547987616,0.9906176700547302,1279.0,5
Secretory,0.9158460161145928,0.9174887892376682,0.9142091152815014,1119.0,5
Submucosal Secretory,0.9588014981273407,0.9721518987341772,0.9458128078817734,406.0,5
T cell lineage,0.9605083976395823,0.9471799462846912,0.9742173112338858,1086.0,5
