cell_type,f1,precision,recall,support
AT1,0.9548069022185702,0.9416531604538088,0.9683333333333334,600.0
AT2,0.9123028391167192,0.9175126903553299,0.9071518193224593,797.0
B cell lineage,0.9737051792828684,0.988673139158576,0.9591836734693877,637.0
Basal,0.9017074296262114,0.926944971537002,0.8778077268643306,1113.0
Dendritic cells,0.9011741682974559,0.8788167938931297,0.9246987951807228,996.0
EC arterial,0.8640533778148457,0.9217081850533808,0.8131868131868132,637.0
EC capillary,0.850190114068441,0.8160583941605839,0.8873015873015873,630.0
EC venous,0.9390756302521007,0.9293139293139293,0.9490445859872612,942.0
Fibroblasts,0.9906542056074766,0.9974905897114178,0.9839108910891089,808.0
Innate lymphoid cell NK,0.9498117942283564,0.9438902743142145,0.9558080808080808,792.0
Lymphatic EC mature,0.9932157394843961,0.997275204359673,0.9891891891891892,370.0
Macrophages,0.8737781555461114,0.9186773905272565,0.833063209076175,1234.0
Mast cells,0.9946294307196564,0.9956989247311828,0.9935622317596566,466.0
Monocytes,0.9258208350222943,0.9056304520222046,0.9469320066334992,1206.0
Multiciliated lineage,0.9841459766676638,0.9903672486453944,0.9780023781212842,1682.0
Secretory,0.8943904732058915,0.8643246517262265,0.9266233766233766,1540.0
Submucosal Secretory,0.9518987341772152,0.9690721649484536,0.9353233830845771,402.0
T cell lineage,0.9551624845742493,0.9524200164068909,0.9579207920792079,1212.0
