,AT1,AT2,B cell lineage,Basal,Dendritic cells,EC arterial,EC capillary,EC venous,Fibroblasts,Innate lymphoid cell NK,Lymphatic EC mature,Macrophages,Mast cells,Monocytes,Multiciliated lineage,Secretory,Submucosal Secretory,T cell lineage
AT1,239,6,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0
AT2,7,929,0,2,0,0,0,0,0,0,0,1,0,0,0,7,0,0
B cell lineage,0,0,527,1,3,0,0,0,1,2,1,0,0,0,1,0,0,3
Basal,0,2,1,738,2,0,0,0,1,0,0,0,0,2,12,52,1,1
Dendritic cells,0,0,5,1,1027,0,0,0,0,0,0,52,0,49,0,1,0,1
EC arterial,0,0,1,0,0,499,46,9,0,0,0,0,0,0,0,0,0,0
EC capillary,0,0,0,0,0,29,453,33,0,0,0,0,0,1,1,0,0,0
EC venous,0,0,0,3,0,17,46,888,1,0,0,1,0,0,0,0,0,0
Fibroblasts,0,0,0,0,0,0,1,0,858,0,0,1,0,1,0,1,0,1
Innate lymphoid cell NK,0,0,0,0,0,0,0,0,0,486,0,0,0,0,0,0,0,44
Lymphatic EC mature,0,0,0,0,0,0,0,3,0,0,252,0,0,0,0,0,0,0
Macrophages,0,1,1,0,87,0,2,0,1,0,0,959,0,123,0,1,0,2
Mast cells,0,0,0,0,0,0,0,0,0,1,0,0,574,4,0,0,0,3
Monocytes,0,4,0,0,20,0,1,0,0,0,0,48,0,1169,0,1,0,2
Multiciliated lineage,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1267,9,0,1
Secretory,2,8,0,62,0,0,0,0,0,0,0,1,0,2,10,1023,10,1
Submucosal Secretory,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,18,384,0
T cell lineage,0,0,2,0,1,0,1,0,0,23,0,1,0,0,0,0,0,1058
