cell_type,f1,precision,recall,support
Mast cells,0.989363155593729,0.9905899264249411,0.9881648966956386,443.0
Fibroblasts,0.9870932967140945,0.9862510863104091,0.9880109390543934,727.0
Lymphatic EC mature,0.9869308864090144,0.9913276742636874,0.9826039683768858,381.8
Multiciliated lineage,0.9842208882322911,0.983815417037265,0.984658051411618,1390.0
B cell lineage,0.9756607540514262,0.9809838441163456,0.9704552568366358,558.6
AT1,0.956613187900562,0.9521348792211158,0.9613093021814528,514.8
AT2,0.9528598171129559,0.9538185390799778,0.9520800703572897,1003.6
T cell lineage,0.9520268503991629,0.9509379210365816,0.9533752807726282,1110.2
EC venous,0.9400189598583069,0.9394474944735899,0.9407089603478858,871.0
Innate lymphoid cell NK,0.9353341545461534,0.9334791235236104,0.9380123557739057,620.2
Submucosal Secretory,0.9271595223216987,0.928003913010832,0.9274565673202243,330.2
Dendritic cells,0.9051040527339677,0.9031235143691603,0.9075768747450356,1014.4
Monocytes,0.9050092487971322,0.9027693869253394,0.9086560058222309,1178.4
Basal,0.9015512450477476,0.9033043889395707,0.9014247644865392,887.6
EC arterial,0.8986831740336786,0.9042652923317064,0.8947179673604655,547.0
Secretory,0.8935177622343579,0.898073465157184,0.8906541302918216,1324.4
Macrophages,0.8836730354059181,0.8923768061963206,0.8771826474260795,1310.6
EC capillary,0.8629803260612393,0.8588499121479428,0.8686330007774726,511.6
