scheme,representation,macro_f1,accuracy,n_cells_used,n_classes_used,batch_covariate,n_batch_features,repeat_seed
random_split,hvg,0.9305341844634376,0.9263157894736842,73622,18,None,0,42
random_split,pca,0.8865277059519524,0.8873344651952462,73622,18,None,0,42
random_split,harmony,0.8630616775204287,0.8684550084889644,73622,18,None,0,42
random_split,scvi,0.9384391294690513,0.9339898132427844,73622,18,None,0,42
random_split,hvg,0.9307648312988468,0.9264516129032258,73622,18,None,0,43
random_split,pca,0.8814705145076513,0.8825806451612903,73622,18,None,0,43
random_split,harmony,0.8596848584298183,0.8648556876061121,73622,18,None,0,43
random_split,scvi,0.9404165646212247,0.9356196943972835,73622,18,None,0,43
random_split,hvg,0.9326843111869741,0.9283531409168081,73622,18,None,0,44
random_split,pca,0.8802923203396471,0.8822410865874364,73622,18,None,0,44
random_split,harmony,0.8575466015167885,0.8648556876061121,73622,18,None,0,44
random_split,scvi,0.9401609403989895,0.9360950764006791,73622,18,None,0,44
random_split,hvg,0.9312305164125397,0.9278777589134125,73622,18,None,0,45
random_split,pca,0.8827451502208326,0.8840747028862479,73622,18,None,0,45
random_split,harmony,0.8557217525323376,0.8626825127334465,73622,18,None,0,45
random_split,scvi,0.9387782661745232,0.9352801358234295,73622,18,None,0,45
random_split,hvg,0.9334722684932404,0.9304584040747029,73622,18,None,0,46
random_split,pca,0.8845344736833893,0.8852292020373514,73622,18,None,0,46
random_split,harmony,0.8573239577873139,0.8639049235993209,73622,18,None,0,46
random_split,scvi,0.9421447446552281,0.937453310696095,73622,18,None,0,46
