cell_type,f1,precision,recall,support
AT1,0.9523809523809522,0.9345794392523364,0.970873786407767,515.0
AT2,0.9565217391304347,0.9598796389167502,0.953187250996016,1004.0
B cell lineage,0.975653742110009,0.9836363636363636,0.9677996422182469,559.0
Basal,0.9004524886877828,0.9045454545454545,0.8963963963963963,888.0
Dendritic cells,0.9107934943321834,0.9103448275862069,0.9112426035502958,1014.0
EC arterial,0.9100817438692098,0.9043321299638989,0.9159049360146252,547.0
EC capillary,0.8915187376725838,0.900398406374502,0.8828125,512.0
EC venous,0.9400230680507496,0.944380069524913,0.9357060849598163,871.0
Fibroblasts,0.9896907216494846,0.989010989010989,0.9903713892709766,727.0
Innate lymphoid cell NK,0.939297124600639,0.930379746835443,0.9483870967741935,620.0
Lymphatic EC mature,0.9896373056994818,0.9794871794871794,1.0,382.0
Macrophages,0.891463885670143,0.9029733959311425,0.8802440884820748,1311.0
Mast cells,0.9943502824858758,0.995475113122172,0.9932279909706546,443.0
Monocytes,0.9093198992443325,0.8995016611295681,0.9193548387096774,1178.0
Multiciliated lineage,0.9855803893294881,0.9877167630057804,0.983453237410072,1390.0
Secretory,0.8935690109063558,0.8898876404494382,0.8972809667673716,1324.0
Submucosal Secretory,0.9422492401215805,0.9451219512195121,0.9393939393939394,330.0
T cell lineage,0.9549143372407575,0.9557761732851986,0.9540540540540541,1110.0
