,AT1,AT2,B cell lineage,Basal,Dendritic cells,EC arterial,EC capillary,EC venous,Fibroblasts,Innate lymphoid cell NK,Lymphatic EC mature,Macrophages,Mast cells,Monocytes,Multiciliated lineage,Secretory,Submucosal Secretory,T cell lineage
AT1,497,7,0,3,1,1,1,0,0,0,0,0,1,0,0,4,0,0
AT2,9,968,0,5,1,0,2,0,0,1,2,5,1,0,0,7,2,1
B cell lineage,0,0,541,0,6,1,0,0,0,1,0,0,0,1,0,0,0,9
Basal,0,4,0,815,1,1,0,0,2,0,0,0,0,1,5,59,0,0
Dendritic cells,0,2,4,1,919,0,0,0,0,0,0,62,0,22,0,3,0,1
EC arterial,0,1,0,0,0,494,39,11,1,0,0,0,0,0,0,1,0,0
EC capillary,1,0,0,0,0,27,457,22,2,0,2,0,0,1,0,0,0,0
EC venous,0,0,0,1,0,24,29,816,0,0,0,0,0,0,0,0,1,0
Fibroblasts,0,2,0,0,0,0,0,4,717,0,0,0,1,2,0,1,0,0
Innate lymphoid cell NK,0,0,0,0,1,0,0,0,0,585,0,0,0,0,0,0,0,34
Lymphatic EC mature,0,0,0,0,0,0,3,3,0,0,374,2,0,0,0,0,0,0
Macrophages,0,0,0,0,62,1,0,0,0,0,0,1171,0,69,0,5,0,3
Mast cells,0,0,0,0,0,0,0,1,0,0,0,0,441,0,0,1,0,0
Monocytes,0,2,0,0,24,1,3,1,1,0,0,82,0,1053,0,2,0,9
Multiciliated lineage,0,2,0,2,0,0,0,1,0,0,0,0,0,0,1368,17,0,0
Secretory,12,17,0,62,2,0,0,0,0,0,0,3,0,3,10,1196,18,1
Submucosal Secretory,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,17,311,0
T cell lineage,1,1,1,2,1,0,2,0,0,35,0,1,0,4,1,0,0,1061
