,AT1,AT2,B cell lineage,Basal,Dendritic cells,EC arterial,EC capillary,EC venous,Fibroblasts,Innate lymphoid cell NK,Lymphatic EC mature,Macrophages,Mast cells,Monocytes,Multiciliated lineage,Secretory,Submucosal Secretory,T cell lineage
AT1,488,10,1,5,0,0,1,0,0,0,0,0,1,0,0,9,0,0
AT2,16,949,0,10,0,0,0,1,2,0,1,0,0,3,1,16,4,1
B cell lineage,2,0,443,1,38,0,1,1,2,0,1,3,0,7,2,2,0,56
Basal,0,5,1,810,1,0,0,0,1,1,0,0,0,0,2,62,1,4
Dendritic cells,0,1,43,0,814,0,0,0,0,0,0,105,0,46,1,2,0,2
EC arterial,0,3,0,0,0,296,91,154,0,0,2,0,0,0,0,0,0,1
EC capillary,1,1,1,2,0,49,417,35,1,0,1,0,1,0,0,0,0,3
EC venous,0,2,1,1,0,108,54,703,1,0,1,0,0,0,0,0,0,0
Fibroblasts,0,0,0,0,0,0,0,1,720,0,0,0,0,3,0,0,2,1
Innate lymphoid cell NK,0,0,1,0,0,0,0,0,0,524,0,0,0,1,0,0,0,94
Lymphatic EC mature,0,1,0,1,0,0,2,2,0,0,372,0,0,4,0,0,0,0
Macrophages,1,0,2,0,81,0,1,1,0,2,0,1085,1,131,0,5,1,0
Mast cells,1,0,0,0,1,0,0,0,0,1,0,0,440,0,0,0,0,0
Monocytes,1,1,1,0,45,0,0,0,0,1,0,134,1,993,1,0,0,0
Multiciliated lineage,0,2,0,2,0,0,0,0,0,1,0,0,0,2,1359,23,1,0
Secretory,7,44,1,82,0,0,0,0,0,0,0,2,0,2,17,1110,57,2
Submucosal Secretory,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,114,210,2
T cell lineage,1,1,16,5,1,0,2,0,0,102,0,4,0,4,1,3,0,970
