cell_type,f1,precision,recall,support
AT1,0.9500489715964741,0.958498023715415,0.941747572815534,515.0
AT2,0.9546351084812623,0.9453125,0.9641434262948207,1004.0
B cell lineage,0.9710669077757685,0.9817184643510055,0.960644007155635,559.0
Basal,0.8872437357630981,0.8974654377880185,0.8772522522522522,888.0
Dendritic cells,0.9005905511811023,0.8988212180746562,0.9023668639053254,1014.0
EC arterial,0.8738574040219378,0.8738574040219378,0.8738574040219378,547.0
EC capillary,0.8330058939096268,0.8379446640316206,0.828125,512.0
EC venous,0.9340974212034385,0.9324942791762014,0.9357060849598163,871.0
Fibroblasts,0.9883000688231246,0.9889807162534435,0.9876203576341128,727.0
Innate lymphoid cell NK,0.9111470113085622,0.912621359223301,0.9096774193548387,620.0
Lymphatic EC mature,0.9881422924901185,0.9946949602122016,0.981675392670157,382.0
Macrophages,0.8911564625850341,0.8831460674157303,0.8993135011441648,1311.0
Mast cells,0.9886877828054298,0.9909297052154195,0.9864559819413092,443.0
Monocytes,0.9104095563139931,0.9150943396226415,0.9057724957555179,1178.0
Multiciliated lineage,0.9794594594594594,0.9812274368231046,0.9776978417266187,1390.0
Secretory,0.9046362608367886,0.9029345372460497,0.9063444108761329,1324.0
Submucosal Secretory,0.9611940298507462,0.9470588235294117,0.9757575757575757,330.0
T cell lineage,0.9344703770197487,0.9311270125223614,0.9378378378378378,1110.0
