,AT1,AT2,B cell lineage,Basal,Dendritic cells,EC arterial,EC capillary,EC venous,Fibroblasts,Innate lymphoid cell NK,Lymphatic EC mature,Macrophages,Mast cells,Monocytes,Multiciliated lineage,Secretory,Submucosal Secretory,T cell lineage
AT1,492,9,0,2,0,0,1,0,0,0,0,0,1,0,0,9,0,1
AT2,11,950,2,2,0,0,0,1,2,0,1,1,0,3,1,28,0,2
B cell lineage,2,1,494,0,29,0,1,1,2,0,1,4,0,5,3,1,0,15
Basal,0,5,3,792,1,0,0,0,2,2,0,0,0,0,2,75,2,4
Dendritic cells,0,1,24,0,865,0,0,0,0,0,0,85,0,32,1,2,1,3
EC arterial,0,3,0,0,0,349,81,111,0,0,1,0,0,0,0,0,1,1
EC capillary,1,1,1,0,0,52,425,20,3,0,2,0,1,1,0,0,1,4
EC venous,0,6,2,1,0,102,31,726,1,0,0,0,0,1,0,0,1,0
Fibroblasts,0,0,0,0,0,1,0,1,720,0,0,0,0,3,0,0,1,1
Innate lymphoid cell NK,0,0,0,1,0,0,0,0,0,554,0,0,0,0,0,0,0,65
Lymphatic EC mature,0,0,0,0,0,0,4,5,0,0,370,0,0,3,0,0,0,0
Macrophages,0,2,1,0,62,1,1,1,0,1,0,1107,1,124,0,6,0,4
Mast cells,0,0,0,0,0,0,0,0,0,1,0,1,441,0,0,0,0,0
Monocytes,0,1,0,0,37,0,0,1,0,1,1,147,1,985,0,0,1,3
Multiciliated lineage,0,2,0,3,0,0,0,0,0,1,0,0,0,2,1359,23,0,0
Secretory,4,44,1,83,0,0,0,0,0,0,0,2,0,1,17,1134,38,0
Submucosal Secretory,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,81,245,1
T cell lineage,0,0,3,8,1,0,2,0,0,74,0,3,1,6,1,1,0,1010
