cell_type,f1,precision,recall,support
AT1,0.9600000000000001,0.9647058823529412,0.9553398058252427,515.0
AT2,0.9364218827008379,0.926829268292683,0.9462151394422311,1004.0
B cell lineage,0.9064220183486239,0.9303201506591338,0.8837209302325582,559.0
Basal,0.8888888888888888,0.8859060402684564,0.8918918918918919,888.0
Dendritic cells,0.8611249377799901,0.8693467336683417,0.8530571992110454,1014.0
EC arterial,0.6634980988593155,0.691089108910891,0.6380255941499086,547.0
EC capillary,0.8034026465028357,0.7783882783882784,0.830078125,512.0
EC venous,0.8354430379746834,0.8373702422145328,0.8335246842709529,871.0
Fibroblasts,0.9876543209876543,0.9849521203830369,0.9903713892709766,727.0
Innate lymphoid cell NK,0.8835725677830941,0.8738170347003155,0.8935483870967742,620.0
Lymphatic EC mature,0.9762532981530342,0.9840425531914894,0.9685863874345549,382.0
Macrophages,0.8320180383314544,0.82,0.8443935926773455,1311.0
Mast cells,0.9921259842519685,0.9887892376681614,0.9954853273137697,443.0
Monocytes,0.840443686006826,0.8447684391080618,0.8361629881154499,1178.0
Multiciliated lineage,0.9798125450612832,0.9819364161849711,0.9776978417266187,1390.0
Secretory,0.8450074515648286,0.8338235294117647,0.8564954682779456,1324.0
Submucosal Secretory,0.7890499194847022,0.8419243986254296,0.7424242424242424,330.0
T cell lineage,0.908273381294964,0.9066427289048474,0.9099099099099099,1110.0
