cell_type,f1,precision,recall,support
AT1,0.945736434108527,0.9439071566731141,0.9475728155339805,515.0
AT2,0.9501495513459621,0.9510978043912176,0.9492031872509961,1004.0
B cell lineage,0.8485947416137806,0.8602941176470589,0.8372093023255814,559.0
Basal,0.8979591836734694,0.88,0.9166666666666666,888.0
Dendritic cells,0.8153310104529617,0.8231155778894472,0.8076923076923077,1014.0
EC arterial,0.579212916246216,0.6463963963963963,0.5246800731261426,547.0
EC capillary,0.7897727272727273,0.7665441176470589,0.814453125,512.0
EC venous,0.7853577371048253,0.759656652360515,0.8128587830080367,871.0
Fibroblasts,0.993805918788713,0.9944903581267218,0.9931224209078404,727.0
Innate lymphoid cell NK,0.826192400970089,0.8282009724473258,0.8241935483870968,620.0
Lymphatic EC mature,0.9802890932982917,0.9841688654353562,0.9764397905759162,382.0
Macrophages,0.8197474167623421,0.8225806451612904,0.816933638443936,1311.0
Mast cells,0.9943630214205187,0.9932432432432432,0.9954853273137697,443.0
Monocytes,0.8238780694326842,0.8217905405405406,0.8259762308998302,1178.0
Multiciliated lineage,0.984149855907781,0.9855699855699855,0.9827338129496402,1390.0
Secretory,0.8389988793425476,0.8300073909830007,0.8481873111782477,1324.0
Submucosal Secretory,0.6962233169129721,0.7598566308243727,0.6424242424242425,330.0
T cell lineage,0.8620689655172413,0.8463541666666666,0.8783783783783784,1110.0
