representation,rep_key,k_train_donors,repeat,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,batch_covariate
hvg,hvg,5,1,0.8209603275539209,0.8038558794460061,4631,77907,29,None
hvg,hvg,5,2,0.6787900955048225,0.7134818112471395,2852,79967,29,None
hvg,hvg,5,3,0.7896729459010161,0.7719176229666551,4277,77643,29,None
hvg,hvg,5,4,0.8196287811758356,0.7983089910917754,4688,77232,29,None
hvg,hvg,5,5,0.7537470891764885,0.7477992957746479,2249,79520,28,None
hvg,hvg,10,1,0.7772833417522446,0.7721782700421941,6948,75840,29,None
hvg,hvg,10,2,0.8303221976167001,0.8095155362512529,8654,74825,30,None
hvg,hvg,10,3,0.8325446624639569,0.8143279392115315,9386,74093,30,None
hvg,hvg,10,4,0.8019845745474143,0.7964963618074697,6930,76549,30,None
hvg,hvg,10,5,0.831827610173058,0.8157652673536587,8466,75013,30,None
hvg,hvg,20,1,0.8364906438968571,0.8139238253440911,16055,67424,30,None
hvg,hvg,20,2,0.8344715937403335,0.8140220855258282,16014,67465,30,None
hvg,hvg,20,3,0.8341084993453475,0.8133581132673495,14068,69411,30,None
hvg,hvg,20,4,0.8248523025912594,0.8031535531177498,13653,69826,30,None
hvg,hvg,20,5,0.8431201912275855,0.8238638990337941,18586,64893,30,None
hvg,hvg,40,1,0.8514168021423991,0.8311565577333813,30572,52907,30,None
hvg,hvg,40,2,0.8439166296056678,0.816042847615872,35495,47984,30,None
hvg,hvg,40,3,0.8479849936666031,0.8256584877315974,33554,49925,30,None
hvg,hvg,40,4,0.852703993059381,0.8281973858371939,35127,48352,30,None
hvg,hvg,40,5,0.8553913489647442,0.8283145709853216,33201,50278,30,None
hvg,hvg,80,1,0.8570753555418335,0.8398857364190956,62825,20654,30,None
hvg,hvg,80,2,0.8645504058620491,0.8535161810762076,62405,21074,30,None
hvg,hvg,80,3,0.8409931543375166,0.8138624930128563,67378,16101,30,None
hvg,hvg,80,4,0.8708890204613077,0.8463920886763747,65075,18404,30,None
hvg,hvg,80,5,0.8724378759600732,0.852373053667933,64790,18689,30,None
pca,X_pca,5,1,0.7279044261342231,0.7367630636528169,4631,77907,29,None
pca,X_pca,5,2,0.6549255588316988,0.7048282416496805,2852,79967,29,None
pca,X_pca,5,3,0.6992414266622093,0.718738327988357,4277,77643,29,None
pca,X_pca,5,4,0.7356153532578574,0.7439144396105242,4688,77232,29,None
pca,X_pca,5,5,0.6536021228983288,0.6780809859154929,2249,79520,28,None
pca,X_pca,10,1,0.7167366226710495,0.7313686708860759,6948,75840,29,None
pca,X_pca,10,2,0.7584594620613045,0.7616304710992315,8654,74825,30,None
pca,X_pca,10,3,0.7215201130393106,0.7356700363057239,9386,74093,30,None
pca,X_pca,10,4,0.7153738236721396,0.7430926596036526,6930,76549,30,None
pca,X_pca,10,5,0.7345604974815687,0.75580232759655,8466,75013,30,None
pca,X_pca,20,1,0.7689642621069656,0.7646831988609397,16055,67424,30,None
pca,X_pca,20,2,0.770204996667848,0.7669606462610242,16014,67465,30,None
pca,X_pca,20,3,0.7728235434920067,0.7696042414026595,14068,69411,30,None
pca,X_pca,20,4,0.759794010072312,0.7663191361384012,13653,69826,30,None
pca,X_pca,20,5,0.7689376191551344,0.7665387638111969,18586,64893,30,None
pca,X_pca,40,1,0.7917715806795705,0.7864554784811083,30572,52907,30,None
pca,X_pca,40,2,0.7915627888420366,0.7804268089363121,35495,47984,30,None
pca,X_pca,40,3,0.7888977125241765,0.78371557336004,33554,49925,30,None
pca,X_pca,40,4,0.7896290776261077,0.780319324950364,35127,48352,30,None
pca,X_pca,40,5,0.7970047223484493,0.7873025975575798,33201,50278,30,None
pca,X_pca,80,1,0.7839241738238558,0.7821245279364772,62825,20654,30,None
pca,X_pca,80,2,0.7979790144100355,0.8037866565436083,62405,21074,30,None
pca,X_pca,80,3,0.7839589829083707,0.7742376249922365,67378,16101,30,None
pca,X_pca,80,4,0.8077903370477073,0.7952075635731363,65075,18404,30,None
pca,X_pca,80,5,0.7991096135660636,0.7870405051099577,64790,18689,30,None
harmony,X_harmony,5,1,0.6419056907669145,0.6865493472987023,4631,77907,29,None
harmony,X_harmony,5,2,0.55767804836474,0.639063613740668,2852,79967,29,None
harmony,X_harmony,5,3,0.6244429747967195,0.6777687621549915,4277,77643,29,None
harmony,X_harmony,5,4,0.661629188059369,0.7040345970582143,4688,77232,29,None
harmony,X_harmony,5,5,0.5814515811303183,0.632054828973843,2249,79520,28,None
harmony,X_harmony,10,1,0.5946823405882139,0.6475738396624473,6948,75840,29,None
harmony,X_harmony,10,2,0.661491801484568,0.6992582692950218,8654,74825,30,None
harmony,X_harmony,10,3,0.6557903857198017,0.6952478641707044,9386,74093,30,None
harmony,X_harmony,10,4,0.6273706769286744,0.6781799892879071,6930,76549,30,None
harmony,X_harmony,10,5,0.6478802225487199,0.6972391452148294,8466,75013,30,None
harmony,X_harmony,20,1,0.6796596425618157,0.7063211912672046,16055,67424,30,None
harmony,X_harmony,20,2,0.6670064843396017,0.7128733417327503,16014,67465,30,None
harmony,X_harmony,20,3,0.6773869395838321,0.7100891789485816,14068,69411,30,None
harmony,X_harmony,20,4,0.6631094966579576,0.7023315097528141,13653,69826,30,None
harmony,X_harmony,20,5,0.6746929452612741,0.6975790917356264,18586,64893,30,None
harmony,X_harmony,40,1,0.6990628223188617,0.7310941841344245,30572,52907,30,None
harmony,X_harmony,40,2,0.7014352358819702,0.7259086362120707,35495,47984,30,None
harmony,X_harmony,40,3,0.6819414529384549,0.72492739108663,33554,49925,30,None
harmony,X_harmony,40,4,0.704368606051446,0.725802448709464,35127,48352,30,None
harmony,X_harmony,40,5,0.7068074003825063,0.7325868172958352,33201,50278,30,None
harmony,X_harmony,80,1,0.6943336246314672,0.7237339014234531,62825,20654,30,None
harmony,X_harmony,80,2,0.7158524669795597,0.7487425263357692,62405,21074,30,None
harmony,X_harmony,80,3,0.6910902211657565,0.7261039686975964,67378,16101,30,None
harmony,X_harmony,80,4,0.7178151730461233,0.7395674853292763,65075,18404,30,None
harmony,X_harmony,80,5,0.7260971821393727,0.7429503986302103,64790,18689,30,None
scvi,X_scVI,5,1,0.8322524314134949,0.8206194565315055,4631,77907,29,None
scvi,X_scVI,5,2,0.7692399205414153,0.780271862143134,2852,79967,29,None
scvi,X_scVI,5,3,0.812777409581482,0.8024290663678632,4277,77643,29,None
scvi,X_scVI,5,4,0.8416615520774269,0.8241143567433188,4688,77232,29,None
scvi,X_scVI,5,5,0.7838135727780747,0.7827842052313884,2249,79520,28,None
scvi,X_scVI,10,1,0.8009805348543843,0.801714135021097,6948,75840,29,None
scvi,X_scVI,10,2,0.8530395840712806,0.838917474106248,8654,74825,30,None
scvi,X_scVI,10,3,0.8483710495034472,0.8367996976772435,9386,74093,30,None
scvi,X_scVI,10,4,0.8246508036290022,0.8291029275366105,6930,76549,30,None
scvi,X_scVI,10,5,0.8485339330745213,0.837268206844147,8466,75013,30,None
scvi,X_scVI,20,1,0.8669812655252954,0.8510026103464642,16055,67424,30,None
scvi,X_scVI,20,2,0.8666588131700037,0.8466464092492404,16014,67465,30,None
scvi,X_scVI,20,3,0.8657051949812061,0.8504992004149198,14068,69411,30,None
scvi,X_scVI,20,4,0.8647102055949595,0.8493397874717155,13653,69826,30,None
scvi,X_scVI,20,5,0.8621243643681259,0.847287072565608,18586,64893,30,None
scvi,X_scVI,40,1,0.8742783001990043,0.8595081936227721,30572,52907,30,None
scvi,X_scVI,40,2,0.8702337128724803,0.847553351117039,35495,47984,30,None
scvi,X_scVI,40,3,0.8797535493843264,0.8604707060590886,33554,49925,30,None
scvi,X_scVI,40,4,0.876623482321015,0.854587193911317,35127,48352,30,None
scvi,X_scVI,40,5,0.876777177776873,0.8555034010899399,33201,50278,30,None
scvi,X_scVI,80,1,0.8711236020083172,0.8579451922145831,62825,20654,30,None
scvi,X_scVI,80,2,0.8784938758825213,0.8717376862484578,62405,21074,30,None
scvi,X_scVI,80,3,0.8699359483497073,0.8452270045338799,67378,16101,30,None
scvi,X_scVI,80,4,0.8891226846450337,0.8654640295587915,65075,18404,30,None
scvi,X_scVI,80,5,0.8818014152862899,0.8617903579645781,64790,18689,30,None
