representation,rep_key,k_train_donors,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,mean_train_cells,mean_test_cells,mean_n_classes_used
harmony,X_harmony,5,0.6134214966236122,0.04297153514571209,0.6678942298452839,0.03109386200529505,3739.4,78453.8,28.8
harmony,X_harmony,10,0.6374430854539955,0.027174587004563055,0.6834998215261819,0.021760577803673894,8076.8,75264.0,29.8
harmony,X_harmony,20,0.6723711016808963,0.007039688602355621,0.7058388626873955,0.006089069415804514,15675.2,67803.8,30.0
harmony,X_harmony,40,0.6987231035146478,0.009827543203236418,0.7280638954876848,0.0035084332293377337,33589.8,49889.2,30.0
harmony,X_harmony,80,0.7090377335924558,0.015433995285312285,0.736219656083261,0.010857650942588311,64494.6,18984.4,30.0
hvg,hvg,5,0.7725598478624167,0.05915580146673911,0.7670727201052447,0.03740196825580611,3739.4,78453.8,28.8
hvg,hvg,10,0.8147924773106748,0.024583966653454574,0.8016566749332213,0.018145110954386538,8076.8,75264.0,29.8
hvg,hvg,20,0.8346086461602766,0.006546821460684635,0.8136642952577626,0.0073279726847669535,15675.2,67803.8,30.0
hvg,hvg,40,0.8502827534877591,0.004445600314906939,0.8258739699806732,0.005830049901644205,33589.8,49889.2,30.0
hvg,hvg,80,0.861189162432556,0.012813283237557092,0.8412059105704934,0.016221510655220976,64494.6,18984.4,30.0
pca,X_pca,5,0.6942577775568635,0.03894640057924233,0.7164650117633743,0.026359997274615476,3739.4,78453.8,28.8
pca,X_pca,10,0.7293301037850746,0.01795999727459764,0.7455128330982468,0.012927172591951773,8076.8,75264.0,29.8
pca,X_pca,20,0.7681448862988534,0.004928763123514009,0.7668211972948443,0.0017795822474029209,15675.2,67803.8,30.0
pca,X_pca,40,0.7917731764040681,0.0031732786883198034,0.7836439566570809,0.0032672103008715035,33589.8,49889.2,30.0
pca,X_pca,80,0.7945524243512067,0.010403515468417081,0.7884793756310832,0.011454947192979943,64494.6,18984.4,30.0
scvi,X_scVI,5,0.8079489772783788,0.030949225211802593,0.8020437894034419,0.02047719578826972,3739.4,78453.8,28.8
scvi,X_scVI,10,0.8351151810265272,0.022089264608226154,0.8287604882370692,0.015586829482161405,8076.8,75264.0,29.8
scvi,X_scVI,20,0.8652359687279182,0.0019525130638449516,0.8489550160095896,0.0019259346841458292,15675.2,67803.8,30.0
scvi,X_scVI,40,0.8755332445107398,0.0035428407560189248,0.8555245691600313,0.0051174449586044056,33589.8,49889.2,30.0
scvi,X_scVI,80,0.8780955052343739,0.007916390550444777,0.860432854104058,0.009904053410446752,64494.6,18984.4,30.0
