,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG mucous,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,10
Adventitial fibroblasts,0,332,104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34,2,0,0,0,0,0,0
Alveolar fibroblasts,0,11,177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,9,0,0,0,0,0,0
Alveolar macrophages,0,1,1,765,0,0,0,1,3,1,13,0,0,0,1,0,0,0,75,0,0,0,11,0,0,0,1,0,0,0,0
B cells,0,0,0,1,385,1,4,3,1,0,37,0,1,0,0,0,0,0,2,0,0,0,1,0,0,12,0,0,0,1,1
Basal resting,0,0,0,0,1,527,0,0,0,15,2,0,0,0,0,0,1,9,0,2,1,0,0,0,0,1,2,0,0,59,16
CD4 T cells,0,1,0,0,1,1,719,128,1,0,2,0,1,0,0,0,0,0,4,0,0,1,3,0,0,20,0,0,0,0,3
CD8 T cells,0,0,0,0,0,0,100,712,1,0,1,1,1,1,0,0,2,0,1,0,0,113,2,0,0,1,0,0,0,0,0
Classical monocytes,0,0,0,4,0,0,2,0,1010,0,14,0,0,0,0,0,1,0,76,0,0,2,64,0,0,1,0,0,0,0,0
Club,1,0,0,0,0,6,1,0,0,354,1,1,0,0,0,0,173,10,0,0,0,0,0,0,0,0,2,0,0,104,24
DC2,0,0,0,24,24,2,1,1,15,0,914,0,0,0,0,1,0,0,78,0,0,0,46,0,0,0,0,0,0,0,0
Deuterosomal,0,0,0,0,0,0,0,0,0,5,0,99,0,0,0,0,17,0,0,2,32,0,0,0,0,1,0,0,0,2,0
EC aerocyte capillary,0,0,0,1,0,0,0,0,0,0,0,0,265,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,0,2,1,0,3,0,1,0,0,0,26,338,3,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
EC venous pulmonary,0,1,0,1,0,0,0,1,0,0,0,1,0,8,322,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC venous systemic,0,0,0,0,0,0,0,0,0,1,0,0,13,59,163,393,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
Goblet,0,0,0,0,0,0,0,0,0,190,0,4,0,0,0,0,523,1,0,1,5,0,0,0,0,0,2,0,0,7,43
Hillock-like,1,0,0,0,0,40,0,0,0,18,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,1,0,0,65,0
Interstitial macrophages,0,0,0,144,0,0,0,0,98,0,81,0,0,1,0,0,0,0,657,0,0,0,49,0,0,0,0,0,0,0,0
Ionocyte,3,0,1,1,0,0,6,0,0,2,0,0,0,0,0,0,11,0,0,32,1,0,0,0,0,3,0,0,1,0,8
Multiciliated,0,0,0,0,0,1,0,0,0,5,0,25,0,0,1,0,10,0,0,1,1225,0,0,0,0,0,0,0,0,1,1
NK cells,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,443,0,0,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,31,0,0,0,1,157,0,38,0,0,0,0,0,0,0,236,0,0,1,321,0,0,2,0,0,0,0,0
Peribronchial fibroblasts,0,138,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,65,1,0,0,0,0,0,0
Pericytes,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0
Plasma cells,0,0,0,0,6,4,50,9,2,0,0,0,0,0,0,0,0,0,2,24,0,1,0,1,0,276,0,0,0,0,2
SMG duct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,228,0,10,2,47
SMG mucous,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,16,197,1,0,3
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,189,0,0
Suprabasal,4,0,0,0,0,99,0,0,0,80,4,0,0,0,0,0,8,88,1,0,3,0,0,0,0,0,2,0,0,444,4
Transitional Club-AT2,5,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,5,0,0,0,231
