cell_type,f1,precision,recall,support
AT2 proliferating,0.7441860465116279,0.7164179104477612,0.7741935483870968,62.0
Adventitial fibroblasts,0.6722513089005235,0.6673596673596673,0.6772151898734177,474.0
Alveolar fibroblasts,0.6360759493670886,0.5167095115681234,0.8271604938271605,243.0
Alveolar macrophages,0.8192,0.7664670658682635,0.8797250859106529,873.0
B cells,0.8644859813084113,0.9113300492610837,0.8222222222222222,450.0
Basal resting,0.8033409263477601,0.7767988252569751,0.8317610062893082,636.0
CD4 T cells,0.8107202680067002,0.8013245033112583,0.8203389830508474,885.0
CD8 T cells,0.7553879310344828,0.7619565217391304,0.7489316239316239,936.0
Classical monocytes,0.8090534979423868,0.7826433121019108,0.8373083475298126,1174.0
Club,0.5237053245805982,0.5172910662824207,0.5302806499261448,677.0
DC2,0.8060109289617486,0.8119266055045872,0.8001808318264014,1106.0
Deuterosomal,0.6474820143884892,0.75,0.569620253164557,158.0
EC aerocyte capillary,0.891156462585034,0.8704318936877077,0.9128919860627178,287.0
EC general capillary,0.7870370370370371,0.7472527472527473,0.8312958435207825,409.0
EC venous pulmonary,0.6728110599078341,0.6160337552742616,0.7411167512690355,394.0
EC venous systemic,0.6195165622202328,0.7148760330578512,0.5466034755134281,633.0
Goblet,0.6784544859201048,0.6897470039946738,0.6675257731958762,776.0
Hillock-like,0.511340206185567,0.5188284518828452,0.5040650406504065,246.0
Interstitial macrophages,0.5827272727272728,0.5478632478632479,0.6223300970873786,1030.0
Ionocyte,0.4153846153846154,0.4426229508196721,0.391304347826087,69.0
Multiciliated,0.9654359780047133,0.963166144200627,0.9677165354330709,1270.0
NK cells,0.8133704735376045,0.8007312614259597,0.8264150943396227,530.0
Non-classical monocytes,0.486697965571205,0.6334012219959266,0.3951715374841169,787.0
Peribronchial fibroblasts,0.19390581717451524,0.3645833333333333,0.1320754716981132,265.0
Pericytes,0.9097744360902256,0.8581560283687943,0.968,125.0
Plasma cells,0.8033012379642366,0.8342857142857143,0.7745358090185677,377.0
SMG duct,0.7216890595009597,0.8245614035087719,0.6416382252559727,293.0
SMG serous,0.9067796610169492,0.9145299145299145,0.8991596638655462,238.0
Suprabasal,0.6346967559943583,0.6607929515418502,0.6105834464043419,737.0
Transitional Club-AT2,0.5880640465793304,0.48325358851674644,0.7509293680297398,269.0
