cell_type,f1,precision,recall,support
Multiciliated,0.9600875858037984,0.9556917080376858,0.9645899224503397,1372.8
Pericytes,0.8894861186235138,0.8589286234710267,0.9268417892860825,138.2
SMG serous,0.871890547579367,0.8509446642474847,0.8989810606178892,132.0
B cells,0.8637146233252316,0.8525144888142725,0.8789939491661375,382.0
EC aerocyte capillary,0.851642360872048,0.8382209911019469,0.8692579443795454,266.0
Classical monocytes,0.8232501427070519,0.797195983703325,0.8516132451578763,1058.2
NK cells,0.8232157344317853,0.8453083907343288,0.8043043926835416,620.2
Basal resting,0.8032169693304082,0.7714524515358472,0.8414518057941928,685.4
CD4 T cells,0.7915104268840633,0.7533769634093195,0.8392229989792023,835.0
AT2 proliferating,0.7843399380986982,0.7589769392140002,0.824755062831424,188.2
Alveolar macrophages,0.772735020778855,0.7416529607577759,0.809196001960635,1014.8
DC2,0.7621624289718374,0.7544536241073291,0.7724825581249322,965.8
CD8 T cells,0.7498942112935669,0.7516903720887635,0.7504103029332624,952.2
Adventitial fibroblasts,0.7398729855497956,0.6878275683240791,0.807297878449892,407.8
EC general capillary,0.7395718689515477,0.7373380319692581,0.746399357448459,443.6
EC venous pulmonary,0.7305621370763202,0.7456901949097393,0.7220330741609564,455.2
SMG duct,0.7304065341649347,0.7348992926342265,0.7383175805128257,231.4
Plasma cells,0.7245056005212254,0.754693371397579,0.6989164211113608,296.4
Suprabasal,0.669208373204108,0.6673855855785763,0.6733224636277898,783.0
Transitional Club-AT2,0.6688236299650347,0.6606455270319014,0.6918710641855206,510.8
EC venous systemic,0.6484275129164694,0.6582782536923185,0.6468678448467894,557.0
Hillock-like,0.6457999703634455,0.7006688201105853,0.6056764815512745,311.8
Goblet,0.6419703353670057,0.6404499935832371,0.6485582702771251,722.8
Alveolar fibroblasts,0.6414746553886024,0.6186508899774992,0.7007395983908742,302.4
Deuterosomal,0.6321423603615497,0.7393477623715552,0.5636172192975863,194.6
Interstitial macrophages,0.5695118110570412,0.5855180247321701,0.5618548076158456,1094.0
Club,0.5376985773062082,0.545732156673965,0.5305309597320442,744.8
Non-classical monocytes,0.5287807354840885,0.6018363112389308,0.4780882638515697,711.8
Ionocyte,0.47980307040418574,0.549082731227152,0.4357317472700563,107.6
Peribronchial fibroblasts,0.20942355274655505,0.40118737823833184,0.16282641882736346,210.0
