,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,104,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9
Adventitial fibroblasts,0,187,15,0,0,0,0,1,0,6,0,0,0,0,1,1,2,0,0,0,0,1,0,33,0,0,0,1,0,0
Alveolar fibroblasts,0,21,273,0,0,2,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0
Alveolar macrophages,3,1,0,591,0,0,2,3,4,2,12,0,1,2,2,0,3,1,117,0,0,0,13,0,0,0,0,0,0,0
B cells,0,0,0,1,536,2,9,5,2,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Basal resting,0,0,0,0,0,579,0,2,0,30,0,0,0,2,0,2,4,14,0,0,2,1,0,0,0,0,0,0,112,2
CD4 T cells,0,0,0,0,1,2,814,142,1,3,2,0,0,2,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0
CD8 T cells,0,0,0,0,0,1,102,857,0,2,2,0,0,2,0,1,0,1,0,0,0,60,3,0,1,0,0,0,2,2
Classical monocytes,0,0,0,2,0,2,2,1,907,0,25,0,0,0,0,0,0,1,28,0,2,0,61,0,0,0,1,0,2,1
Club,1,0,0,2,0,8,0,1,1,726,0,1,0,0,0,0,112,20,0,1,1,1,0,0,0,0,2,0,78,13
DC2,0,0,0,13,2,2,1,1,9,3,750,0,0,0,0,0,0,0,86,0,0,0,12,0,0,0,0,0,4,2
Deuterosomal,0,0,0,0,0,0,0,0,0,3,0,203,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0
EC aerocyte capillary,0,0,0,0,0,0,0,0,0,0,0,0,371,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,0,0,0,1,2,0,1,1,0,0,21,472,11,31,0,1,0,0,0,0,0,0,0,0,0,0,1,0
EC venous pulmonary,0,0,0,1,0,0,0,0,2,0,0,0,0,12,366,31,0,0,0,0,0,0,0,0,0,0,0,0,2,0
EC venous systemic,0,0,0,0,0,1,0,0,0,1,0,0,0,26,34,515,1,1,0,0,1,0,0,0,0,0,0,0,1,1
Goblet,0,0,0,3,0,2,0,0,0,163,1,6,0,0,0,0,644,11,0,0,9,1,1,0,0,0,7,0,15,13
Hillock-like,0,0,0,0,0,6,0,0,0,7,0,0,0,1,0,0,5,315,0,0,0,3,0,0,0,0,0,0,40,0
Interstitial macrophages,0,0,0,61,0,2,1,3,63,2,74,0,0,0,0,0,2,4,886,0,0,5,19,0,0,0,0,0,0,0
Ionocyte,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,100,0,0,0,0,0,0,1,0,0,0
Multiciliated,0,0,0,0,0,13,0,1,0,5,1,13,0,0,1,2,22,1,0,0,1598,4,0,0,0,0,1,0,5,1
NK cells,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,1,1,0,0,0,731,0,0,0,0,0,0,0,1
Non-classical monocytes,0,0,0,5,1,0,2,3,58,1,9,0,0,0,0,0,0,1,35,0,0,0,433,0,0,0,0,0,0,0
Peribronchial fibroblasts,0,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,275,0,0,0,0,0,0
Pericytes,0,1,2,0,0,1,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0
Plasma cells,1,0,0,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,260,0,0,0,0
SMG duct,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,243,2,4,6
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,143,0,0
Suprabasal,4,0,0,0,0,96,0,1,1,123,0,3,0,1,0,0,8,51,0,0,0,6,0,0,0,0,2,0,646,1
Transitional Club-AT2,2,0,0,0,0,1,0,0,1,29,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,4,1,0,549
