,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG mucous,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,394,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,2,9
Adventitial fibroblasts,0,350,24,0,0,2,2,2,1,0,1,0,0,1,2,0,1,0,0,0,0,1,1,25,0,0,0,0,0,2,1
Alveolar fibroblasts,0,54,241,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Alveolar macrophages,0,0,0,835,0,0,0,0,4,3,8,0,0,1,1,0,0,1,120,0,0,1,12,0,0,0,0,0,0,0,0
B cells,0,0,0,0,370,2,4,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Basal resting,1,0,0,1,0,534,1,2,1,2,0,0,0,2,0,1,2,10,2,1,3,2,0,0,0,0,0,0,0,77,5
CD4 T cells,0,0,0,0,0,0,743,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
CD8 T cells,0,0,0,1,2,0,67,558,0,0,2,0,0,0,0,0,2,1,2,0,0,32,1,0,0,2,0,0,0,0,2
Classical monocytes,0,0,2,3,0,1,4,2,810,1,22,0,1,1,0,2,0,1,94,0,0,0,96,0,0,0,0,0,0,0,1
Club,1,0,0,1,0,13,0,0,1,215,0,1,0,0,1,0,59,21,0,0,0,0,1,0,0,0,2,0,0,107,18
DC2,2,0,0,5,0,0,1,2,11,0,703,0,0,0,0,1,0,0,88,0,0,0,23,0,0,0,0,0,0,0,0
Deuterosomal,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,2,0,0,1,5,0,0,0,0,0,0,0,0,1,0
EC aerocyte capillary,0,0,0,0,0,0,0,0,0,0,0,0,92,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
EC general capillary,0,1,0,1,0,3,1,0,0,0,0,0,19,246,5,30,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
EC venous pulmonary,0,1,0,2,0,0,0,0,1,0,0,0,0,6,326,54,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
EC venous systemic,0,0,0,0,0,1,0,0,0,0,0,0,1,29,37,302,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Goblet,0,1,0,1,0,5,1,0,0,61,1,4,0,0,1,1,318,4,2,0,21,0,3,0,0,0,5,1,0,14,12
Hillock-like,0,0,0,0,0,38,0,3,0,2,0,1,0,0,0,0,4,306,0,0,0,0,0,0,0,0,1,0,0,63,0
Interstitial macrophages,0,0,0,101,0,0,1,2,57,0,82,0,0,0,0,0,1,2,1003,0,0,1,45,0,0,0,0,0,0,0,0
Ionocyte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,73,0,0,0,0,0,0,0,0,0,0,0
Multiciliated,1,0,0,0,0,7,1,0,1,2,0,4,0,0,0,0,6,0,0,0,921,1,0,0,0,0,0,0,0,1,2
NK cells,0,0,0,1,0,0,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,631,0,0,0,0,0,0,0,0,1
Non-classical monocytes,0,0,0,2,0,1,2,5,52,0,9,0,0,0,0,0,0,0,31,0,0,0,652,0,0,0,0,0,0,0,0
Peribronchial fibroblasts,0,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74,0,0,0,0,0,0,0
Pericytes,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0
Plasma cells,0,0,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,201,0,0,0,0,0
SMG duct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,202,0,8,0,2
SMG mucous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,0,0
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,143,0,0
Suprabasal,0,0,0,1,0,95,0,3,0,15,0,0,0,2,1,0,19,68,0,0,1,2,0,0,0,1,2,0,0,520,1
Transitional Club-AT2,2,1,0,0,0,1,2,0,0,17,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,3,0,0,0,391
