cell_type,f1,precision,recall,support
AT2 proliferating,0.9672131147540983,0.9833333333333333,0.9516129032258065,62.0
Adventitial fibroblasts,0.8806133625410734,0.9157175398633257,0.8481012658227848,474.0
Alveolar fibroblasts,0.8747433264887063,0.8729508196721312,0.8765432098765432,243.0
Alveolar macrophages,0.8642533936651583,0.8536312849162011,0.8751431844215349,873.0
B cells,0.978912319644839,0.9778270509977827,0.98,450.0
Basal resting,0.8037825059101655,0.8056872037914692,0.8018867924528302,636.0
CD4 T cells,0.8747228381374724,0.8585418933623504,0.8915254237288136,885.0
CD8 T cells,0.8178357803153887,0.832779623477298,0.8034188034188035,936.0
Classical monocytes,0.8270313757039421,0.7835365853658537,0.8756388415672913,1174.0
Club,0.6680942184154175,0.6464088397790055,0.691285081240768,677.0
DC2,0.8379373848987108,0.8536585365853658,0.8227848101265823,1106.0
Deuterosomal,0.9382716049382716,0.9156626506024096,0.9620253164556962,158.0
EC aerocyte capillary,0.9438596491228071,0.950530035335689,0.9372822299651568,287.0
EC general capillary,0.8308080808080808,0.8590078328981723,0.80440097799511,409.0
EC venous pulmonary,0.8597402597402598,0.8803191489361702,0.8401015228426396,394.0
EC venous systemic,0.8722264728385616,0.8456973293768546,0.9004739336492891,633.0
Goblet,0.7439739413680783,0.7523056653491436,0.7358247422680413,776.0
Hillock-like,0.7136363636363636,0.8092783505154639,0.6382113821138211,246.0
Interstitial macrophages,0.7297560975609755,0.7333333333333333,0.7262135922330097,1030.0
Ionocyte,0.9852941176470589,1.0,0.9710144927536232,69.0
Multiciliated,0.9702734839476814,0.9768555466879489,0.9637795275590552,1270.0
NK cells,0.8732394366197183,0.8691588785046729,0.8773584905660378,530.0
Non-classical monocytes,0.8206850235057085,0.8703703703703703,0.7763659466327827,787.0
Peribronchial fibroblasts,0.8144144144144144,0.7793103448275862,0.8528301886792453,265.0
Pericytes,0.9878542510121457,1.0,0.976,125.0
Plasma cells,0.9933598937583001,0.9946808510638298,0.9920424403183024,377.0
SMG duct,0.8761220825852781,0.9242424242424242,0.8327645051194539,293.0
SMG serous,0.9065040650406505,0.8779527559055118,0.9369747899159664,238.0
Suprabasal,0.7016348773841962,0.7045143638850889,0.6987788331071914,737.0
Transitional Club-AT2,0.8507718696397941,0.7898089171974523,0.9219330855018587,269.0
