cell_type,f1,precision,recall,support
Ionocyte,0.982780595287504,0.9915501050105011,0.9743447663489923,107.6
Pericytes,0.9823139256412843,0.9892374560289667,0.975839633933788,138.2
Plasma cells,0.9780376369861583,0.9879976377701167,0.9684679177980128,296.4
B cells,0.9770678614224494,0.9848312019869514,0.9695804654783572,382.0
Multiciliated,0.9706433051218945,0.9744473759324371,0.9669415421232784,1372.8
SMG mucous,0.9697607209487066,0.9856798504525777,0.9559718614718614,97.4
AT2 proliferating,0.950705214953458,0.950445321447192,0.9520467566086565,188.2
EC aerocyte capillary,0.9210131664813866,0.9145319413093352,0.9288113884393241,266.0
SMG serous,0.920155109529205,0.9277039056880595,0.9158242527892997,132.0
Deuterosomal,0.9176548761577893,0.9140255476059853,0.9230249360510886,194.6
NK cells,0.8981200109104324,0.8849292341133219,0.9118269503249923,620.2
Transitional Club-AT2,0.8732103689881463,0.8559693209563657,0.8924746791113585,510.8
SMG duct,0.8707563098019137,0.857980974263984,0.8855400240952143,231.4
CD4 T cells,0.8656896446088262,0.8557678161429282,0.8777638705468611,835.0
EC venous pulmonary,0.8537337166977199,0.8640705747884259,0.8441190917264313,455.2
Alveolar fibroblasts,0.852144850333276,0.863711736796412,0.8416008517253436,302.4
EC venous systemic,0.8492917326812168,0.8361313100012537,0.8641523686043765,557.0
Adventitial fibroblasts,0.849251008389144,0.8634442569636507,0.8367213349409661,407.8
DC2,0.8482432655401265,0.8535750112198347,0.8430522552173374,965.8
Alveolar macrophages,0.8449838671675856,0.8515891804894281,0.8405015369862792,1014.8
Classical monocytes,0.8382013342307744,0.8433556080543511,0.835059055896704,1058.2
EC general capillary,0.8326073211695253,0.8502038563742648,0.816255167313939,443.6
CD8 T cells,0.8171197437568779,0.8274760902902493,0.8085594911351777,952.2
Basal resting,0.8118889254432947,0.8092539460816038,0.8155698057495286,685.4
Non-classical monocytes,0.8094727725816279,0.8148712316007197,0.8062070248889468,711.8
Peribronchial fibroblasts,0.7684513474256554,0.7595603415852636,0.7795087541501642,210.0
Hillock-like,0.7495220727709297,0.7434834209370795,0.7643118619416679,311.8
Interstitial macrophages,0.7344958848580659,0.7293515060475924,0.7405721235955415,1094.0
Goblet,0.7322228458552422,0.7290440556585016,0.7376345651010694,722.8
Suprabasal,0.7058266010196383,0.7057528177848396,0.7069536252133842,783.0
Club,0.6556075324412539,0.674740382223868,0.6447912698217391,744.8
